AdigNCBI_PRO	Acervicorn_PRO	Adigitifer_PRO	Aelegantis_PRO	Ahyacinthu_PRO	Amillepora_PRO	Apallida_PRO	Apalmata_PRO	Atenuis_PRO	Fscutaria_PRO	Mauretenra_PRO	Mcavernosa_PRO	Nvectensis_PRO	Ofaveolata_PRO	Pastreoide_PRO	Paustralie_PRO	Pcarnosus_PRO	Pdaedalea_PRO	Pdamicorni_PRO	Plobata_PRO	Pstrigosa_PRO	Shystrix_PRO	Spistillat_PRO	Ssiderea_PRO
XP_015754570.1	GASU01040479.1	adi_EST_assem_16622	NA	NA	c010305	Locus_1682_Transcript_1/5_Confidence_1.0_Length_2514	Contig_3504	NA	comp86192_c0_seq1	comp37998_c0_seq1	comp30732_c0_seq2	NA	NA	NA	FX490237.1	Unigene125322_Mix_Normal_N	NA	bu_91849.1_c17650	c56276_g1_i3	NA	comp10535_c0_seq1	NA	comp256359_c0_seq12
XP_015754576.1	GASU01079660.1	adi_EST_assem_14513	NA	NA	c004244	NA	NA	NA	NA	NA	comp70020_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XP_015754579.1	NA	NA	NA	NA	c015591	NA	Contig_13924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	c41335_g1_i1	NA	NA	NA	comp240120_c0_seq9
XP_015754581.1	GASU01020504.1	adi_EST_assem_5253	NA	NA	c008514	NA	Contig_36397	NA	NA	comp47590_c0_seq1	NA	jgi|Nemve1|93522|e_gw.33.255.1	comp53081_c0_seq1	NA	FX496813.1	NA	NA	NA	c48236_g1_i2	NA	NA	NA	comp258254_c1_seq11
XP_015754583.1	GASU01085576.1	adi_EST_assem_17045	NA	NA	c018535	NA	Contig_5392	isotig04293	NA	comp55309_c0_seq1	comp46246_c0_seq3	jgi|Nemve1|157669|estExt_gwp.C_10091	NA	NA	FX438247.1	Unigene112840_Mix_Normal_N	c7781_g1_i1	bu_91849.1_c22544	c53507_g1_i3	NA	comp45747_c0_seq1	NA	comp236504_c0_seq1
XP_015754588.1	NA	adi_EST_assem_10122	comp60277_c0_seq1	NA	NA	Locus_11299_Transcript_1/1_Confidence_1.0_Length_2600	NA	NA	NA	NA	NA	NA	NA	NA	FX458575.1	NA	NA	NA	c61335_g1_i3	NA	NA	NA	NA
XP_015754589.1	GASU01031354.1	NA	NA	NA	c001200p	NA	Contig_25379	NA	comp44793_c0_seq1	NA	comp6692_c0_seq1	jgi|Nemve1|138799|e_gw.444.4.1	comp45793_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XP_015754597.1	NA	adi_EST_assem_1694	NA	NA	c001127p	Locus_124_Transcript_1/1_Confidence_1.0_Length_1079	Contig_5954	NA	NA	NA	NA	jgi|Nemve1|194914|estExt_GenewiseH_1.C_4440001	NA	NA	FX460237.1	NA	NA	NA	c60456_g3_i2	NA	NA	NA	NA
XP_015754608.1	NA	adi_EST_assem_8527	comp55868_c0_seq1	NA	c007220	Locus_4917_Transcript_2/4_Confidence_1.0_Length_1686	Contig_1220	isotig09291	NA	NA	NA	jgi|Nemve1|198796|fgenesh1_pg.scaffold_12000019	comp46201_c0_seq10	NA	FX436561.1	CL731.Contig1_Mix_Normal_N	NA	bu_91849.1_c8778	c59077_g1_i4	NA	NA	Spi_isotig04810	comp246610_c0_seq1
XP_015754609.1	GASU01015479.1	adi_EST_assem_13826	comp42523_c0_seq1	NA	c004112m	Locus_16184_Transcript_1/1_Confidence_1.0_Length_1595	Contig_17451	NA	comp5012_c2_seq6	comp24371_c0_seq1	comp71463_c0_seq1	NA	comp15245_c0_seq1	NA	FX448759.1	Unigene10679_Mix_Normal_N	c15340_g1_i4	NA	c53648_g1_i1	NA	comp18046_c0_seq2	NA	comp238732_c0_seq2
XP_015754648.1	GASU01080064.1	NA	NA	NA	c005421	NA	NA	NA	comp8502_c0_seq5	NA	NA	NA	NA	NA	FX459339.1	NA	NA	NA	c60081_g1_i2	NA	NA	NA	comp246944_c0_seq1
XP_015754650.1	NA	adi_EST_assem_16106	NA	NA	c002967m	NA	Contig_7880	NA	NA	NA	NA	jgi|Nemve1|159917|estExt_gwp.C_110094	NA	NA	FX454455.1	NA	NA	NA	c56117_g1_i1	NA	NA	NA	NA
XP_015754654.1	GASU01015634.1	adi_EST_assem_4321	NA	contig170277_177948	c009706	NA	Contig_7760	isotig09365	comp49914_c0_seq1	comp12634_c0_seq1	comp3665_c0_seq1	NA	comp44353_c0_seq1	isotig03418	FX437941.1	Unigene136278_Mix_Normal_N	c17763_g1_i1	bu_91849.1_c750	c49439_g1_i1	comp9112_c0_seq1	NA	Spi_isotig05431	NA
XP_015754655.1	GASU01048490.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp37583_c0_seq2	NA	NA	NA	NA	Unigene134401_Mix_Normal_N	NA	NA	NA	comp143904_c0_seq1	NA	NA	NA
XP_015754675.1	GASU01031506.1	adi_EST_assem_2558	NA	contig152841	c018323	NA	Contig_8213	isotig11585	comp1357_c0_seq1	comp623_c0_seq1	comp959_c0_seq1	NA	comp39889_c0_seq1	isotig03513	NA	Unigene45257_Mix_Normal_N	c25521_g1_i1	NA	c58719_g3_i1	comp1378_c0_seq1	comp1555_c0_seq1	Spi_isotig02682	NA
XP_015754677.1	GASU01071344.1	adi_EST_assem_2120	NA	NA	c013498	NA	Contig_928	NA	comp61670_c0_seq1	comp60276_c0_seq1	NA	jgi|Nemve1|91249|e_gw.26.117.1	NA	NA	FX503603.1	NA	NA	NA	c56471_g1_i2	NA	NA	NA	comp245498_c0_seq12
XP_015754681.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp8303_c0_seq2	NA	NA	NA	NA	FX497848.1	Unigene70621_Mix_Normal_N	NA	NA	c62601_g3_i2	NA	NA	NA	comp255437_c0_seq6
XP_015754689.1	NA	adi_EST_assem_8569	NA	NA	c009620	NA	Contig_14917	isotig10070	NA	NA	comp13150_c0_seq3	NA	comp41416_c0_seq1	NA	FX463167.1	Unigene6009_Mix_Normal_N	NA	NA	c61661_g3_i1	comp15869_c0_seq1	NA	NA	comp263408_c0_seq1
XP_015754724.1	NA	adi_EST_assem_7375	NA	NA	c010387	NA	Contig_31016	NA	NA	NA	comp29492_c0_seq2	jgi|Nemve1|234745|estExt_fgenesh1_pm.C_570005	NA	NA	FX465259.1	NA	NA	NA	c39238_g1_i1	NA	comp3269_c0_seq1	Spi_isotig07110	comp256568_c0_seq2
XP_015754729.1	NA	NA	comp41305_c0_seq2	NA	NA	NA	NA	NA	comp14878_c2_seq5	NA	NA	NA	NA	NA	FX439304.1	NA	NA	NA	c56966_g1_i3	NA	NA	NA	comp259693_c0_seq2
XP_015754732.1	GASU01031526.1	adi_EST_assem_35032	comp261_c0_seq2	NA	c006501	Locus_1766_Transcript_4/9_Confidence_1.0_Length_788	Contig_13188	isotig19090	comp193_c1_seq1	comp315_c0_seq1	NA	jgi|Nemve1|162224|estExt_gwp.C_280123	comp70334_c0_seq1	isotig12854	NA	Unigene47018_Mix_Normal_N	c12900_g1_i1	bu_91849.1_c2444	c5907_g1_i1	comp899_c0_seq1	comp221_c1_seq1	Spi_isotig11472	comp210470_c0_seq1
XP_015754737.1	GASU01004436.1	adi_EST_assem_2570	NA	NA	c002036	NA	NA	NA	comp1534_c14_seq89	NA	NA	jgi|Nemve1|206699|fgenesh1_pg.scaffold_72000067	NA	NA	FX437123.1	NA	NA	NA	c52477_g1_i1	NA	NA	NA	comp250381_c0_seq8
XP_015754696.1	GASU01014109.1	adi_EST_assem_2221	NA	NA	c010009	NA	Contig_11612	isotig09407	comp1466_c0_seq1	NA	comp7147_c0_seq2	jgi|Nemve1|218982|fgenesh1_pg.scaffold_378000016	comp45496_c0_seq1	NA	NA	Unigene45283_Mix_Normal_N	NA	bu_91849.1_c396	c61127_g3_i1	comp1535_c0_seq1	NA	Spi_isotig05506	NA
XP_015754746.1	GASU01069810.1	adi_EST_assem_8946	comp4664_c0_seq1	NA	NA	NA	Contig_10587	isotig09505	NA	comp8620_c0_seq1	comp43418_c0_seq1	jgi|Nemve1|175297|estExt_gwp.C_3780059	comp36929_c0_seq1	NA	FX462637.1	NA	NA	bu_91849.1_c1407	NA	comp22127_c0_seq2	comp1127_c3_seq1	NA	comp220480_c0_seq1
XP_015754751.1	GASU01092125.1	NA	comp20588_c0_seq1	NA	c006758m	Locus_5893_Transcript_1/1_Confidence_1.0_Length_1091	Contig_2835	NA	comp280_c13_seq318	comp1583_c4_seq5	comp4221_c0_seq1	jgi|Nemve1|170108|estExt_gwp.C_1400017	comp40757_c0_seq1	isotig03754	FX439844.1	Unigene7300_Mix_Normal_N	NA	bu_91849.1_c1760	c55674_g1_i1	comp43121_c0_seq2	comp4234_c0_seq1	Spi_isotig05107	comp257722_c0_seq7
XP_015754752.1	GASU01080503.1	adi_EST_assem_28719	comp14248_c0_seq1	NA	c006758p	Locus_14207_Transcript_1/1_Confidence_1.0_Length_1187	NA	isotig14106	comp5412_c0_seq1	comp10447_c0_seq1	comp76573_c0_seq2	NA	NA	isotig17170	FX453994.1	NA	NA	bu_91849.1_c21076	c54534_g1_i1	comp31352_c0_seq1	comp26799_c0_seq2	Spi_isotig07617	NA
XP_015754754.1	GASU01086375.1	adi_EST_assem_17225	NA	NA	c029441	NA	Contig_35541	isotig06633	comp3093_c0_seq120	comp11863_c0_seq1	comp127505_c0_seq1	NA	NA	NA	FX441860.1	NA	c10411_g1_i1	bu_91849.1_lrc18293	c58803_g1_i1	NA	NA	Spi_isotig07496	NA
XP_015754753.1	NA	adi_EST_assem_12745	NA	NA	c008260	NA	Contig_17323	NA	NA	comp133645_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	c51277_g1_i2	NA	NA	NA	NA
XP_015754711.1	GASU01086205.1	NA	NA	NA	c018263	NA	Contig_1677	NA	comp42563_c0_seq2	NA	NA	jgi|Nemve1|217819|fgenesh1_pg.scaffold_314000008	comp33410_c0_seq5	NA	FX440647.1	NA	c17680_g3_i5	NA	c112763_g1_i1	comp107665_c0_seq1	comp35299_c0_seq1	Spi_isotig09682	comp250520_c0_seq2
XP_015754798.1	NA	NA	NA	NA	c005864m	NA	Contig_23315	NA	comp94600_c0_seq1	comp65356_c0_seq1	NA	jgi|Nemve1|244796|estExt_fgenesh1_pg.C_1340007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XP_015754800.1	GASU01040934.1	adi_EST_assem_27718	NA	contig76404	c022270	NA	NA	NA	NA	NA	comp111916_c0_seq1	NA	NA	NA	FX495759.1	NA	NA	NA	c134306_g1_i1	NA	NA	NA	NA
XP_015754807.1	NA	adi_EST_assem_5272	comp16960_c0_seq1	NA	c015940	NA	NA	NA	NA	NA	comp78168_c0_seq1	NA	comp33158_c0_seq1	NA	FX492564.1	NA	NA	bu_91849.1_c27746	c15900_g1_i2	comp23122_c0_seq1	NA	NA	comp255898_c0_seq1
XP_015754810.1	GASU01080358.1	NA	NA	NA	NA	NA	Contig_41620	NA	NA	NA	comp18925_c0_seq1	NA	comp44549_c0_seq2	NA	FX454941.1	Unigene77517_Mix_Normal_N	NA	bu_91849.1_c46093	c28731_g1_i1	NA	NA	NA	comp247810_c0_seq2
XP_015754813.1	NA	NA	comp33725_c0_seq2	NA	NA	NA	NA	NA	comp41227_c0_seq4	NA	comp2669_c3_seq36	jgi|Nemve1|99988|e_gw.55.103.1	NA	NA	NA	NA	NA	NA	c60564_g5_i1	NA	NA	NA	NA
XP_015754816.1	GASU01049129.1	adi_EST_assem_11722	NA	NA	NA	NA	Contig_39218	NA	NA	comp65322_c0_seq1	comp4323_c1_seq6	NA	NA	NA	FX471134.1	NA	NA	NA	NA	comp16354_c0_seq1	comp18715_c0_seq1	Spi_isotig08314	NA
XP_015754822.1	NA	adi_EST_assem_2122	NA	NA	c003455	NA	NA	NA	comp46253_c0_seq1	NA	comp23767_c0_seq5	NA	NA	NA	FX457949.1	NA	NA	NA	c876_g1_i1	NA	NA	NA	comp258427_c0_seq4
XP_015754823.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp79355_c0_seq1	jgi|Nemve1|164541|estExt_gwp.C_510141	comp36570_c0_seq2	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp257196_c0_seq5
XP_015754829.1	NA	NA	NA	NA	NA	Locus_1086_Transcript_1/1_Confidence_1.0_Length_1284	Contig_19253	NA	NA	comp69172_c0_seq1	NA	NA	NA	NA	FX464322.1	Unigene150678_Mix_Normal_N	NA	NA	c42663_g2_i1	NA	NA	NA	comp226647_c0_seq1
XP_015754772.1	NA	NA	comp68961_c0_seq1	NA	NA	Locus_13605_Transcript_1/1_Confidence_1.0_Length_1878	NA	NA	comp18623_c0_seq2	NA	NA	NA	NA	NA	NA	Unigene134956_Mix_Normal_N	NA	NA	NA	NA	NA	NA	NA
XP_015754828.1	GASU01091610.1	NA	NA	NA	c022379	NA	Contig_17993	isotig04228	comp68903_c0_seq3	comp52271_c0_seq1	NA	NA	NA	NA	FX467505.1	NA	NA	bu_91849.1_c29504	c30505_g1_i1	NA	comp29810_c0_seq1	NA	NA
XP_015754830.1	NA	NA	NA	NA	c018007	Locus_2751_Transcript_2/2_Confidence_1.0_Length_735	NA	NA	NA	comp59764_c0_seq1	NA	NA	NA	NA	FX464975.1	NA	NA	bu_91849.1_c18494	c26853_g2_i1	comp101827_c0_seq1	comp33964_c0_seq1	NA	comp233907_c0_seq2
XP_015754827.1	NA	adi_EST_assem_8244	NA	NA	c012995	NA	Contig_42429	NA	NA	comp25069_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp36926_c0_seq1	NA	NA	comp259817_c0_seq3
XP_015754838.1	GASU01045370.1	NA	comp45092_c0_seq2	contig66723	c019049	Locus_5659_Transcript_1/1_Confidence_1.0_Length_1056	Contig_12163	NA	NA	comp15502_c0_seq1	NA	jgi|Nemve1|239130|estExt_fgenesh1_pg.C_120063	NA	NA	FX449293.1	NA	c14158_g1_i1	bu_91849.1_c19396	c50762_g1_i1	NA	NA	NA	NA
XP_015754854.1	GASU01080605.1	adi_EST_assem_7165	NA	NA	c028998	NA	Contig_7611	isotig22821	comp11158_c0_seq2	comp38935_c0_seq1	comp20896_c0_seq1	jgi|Nemve1|237281|estExt_fgenesh1_kg.C_1600002	NA	NA	FX473593.1	Unigene117390_Mix_Normal_N	c9378_g1_i1	NA	c50864_g1_i1	comp24387_c0_seq1	comp4941_c0_seq1	Spi_isotig10076	NA
XP_015754784.1	GASU01051249.1	adi_EST_assem_6493	NA	NA	c020350	NA	Contig_16412	NA	comp11483_c0_seq1	comp12719_c0_seq1	comp23391_c1_seq1	jgi|Nemve1|190101|estExt_GenewiseH_1.C_1600034	NA	isotig13812	FX461800.1	Unigene67915_Mix_Normal_N	c16308_g1_i1	bu_91849.1_c7083	c52418_g1_i2	comp15802_c0_seq2	comp12386_c0_seq2	NA	comp245942_c0_seq26
XP_015754852.1	GASU01005482.1	adi_EST_assem_4787	NA	NA	c010326	NA	Contig_934	NA	NA	comp13017_c1_seq1	comp46096_c0_seq19	NA	NA	NA	NA	Unigene154550_Mix_Normal_N	c14165_g1_i1	bu_91849.1_c8682	c61312_g1_i5	comp11250_c0_seq2	NA	NA	comp224003_c0_seq2
XP_015754855.1	GASU01029979.1	adi_EST_assem_5231	comp11123_c0_seq1	NA	c023011	Locus_1751_Transcript_2/4_Confidence_1.0_Length_571	Contig_2479	isotig11524	comp2562_c0_seq1	comp753_c0_seq1	comp315586_c0_seq1	jgi|Nemve1|237378|estExt_fgenesh1_kg.C_2090003	comp86099_c0_seq1	NA	FX453046.1	Unigene137224_Mix_Normal_N	c14930_g1_i1	bu_91849.1_c30879	NA	comp1595_c2_seq1	comp830_c0_seq1	Spi_isotig13143	comp188399_c0_seq1
XP_015754851.1	GASU01020743.1	adi_EST_assem_18837	NA	NA	c011863	NA	Contig_5918	NA	NA	comp59979_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp78794_c0_seq1	NA	NA
XP_015754788.1	NA	NA	comp108220_c0_seq2	NA	c027477	Locus_1370_Transcript_2/3_Confidence_1.0_Length_1977	Contig_26780	isotig26002	NA	NA	NA	jgi|Nemve1|124291|e_gw.209.47.1	comp30904_c0_seq1	NA	FX435457.1	NA	NA	NA	NA	NA	NA	Spi_isotig06680	NA
XP_015754859.1	GASU01079799.1	NA	NA	NA	c016082	NA	Contig_13619	NA	comp34608_c0_seq1	NA	NA	NA	comp26742_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XP_015754864.1	NA	NA	comp76033_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	jgi|Nemve1|14438|gw.245.32.1	comp43019_c0_seq1	NA	FX471881.1	NA	NA	NA	NA	NA	NA	NA	NA
XP_015754790.1	NA	adi_EST_assem_9145	NA	NA	c013264	NA	Contig_38212	isotig09727	comp14646_c0_seq1	comp29379_c0_seq1	comp71575_c0_seq1	NA	comp28842_c0_seq1	NA	FX458536.1	NA	NA	bu_91849.1_c4290	c56671_g1_i2	NA	NA	NA	comp258122_c0_seq8
XP_015754907.1	NA	NA	NA	NA	c000212m	NA	Contig_9385	NA	comp62400_c0_seq1	NA	NA	jgi|Nemve1|194038|estExt_GenewiseH_1.C_3340029	NA	NA	FX490863.1	NA	NA	NA	NA	NA	NA	NA	comp250944_c0_seq5
XP_015754913.1	GASU01070267.1	adi_EST_assem_7266	comp68049_c0_seq1	NA	c005999	Locus_2995_Transcript_1/1_Confidence_1.0_Length_1617	Contig_20134	NA	comp3701_c0_seq1	NA	comp14294_c0_seq1	NA	NA	NA	FX439910.1	NA	NA	NA	c48946_g1_i1	NA	NA	NA	comp242137_c0_seq3
XP_015754912.1	GASU01070683.1	NA	NA	NA	c002049	NA	NA	NA	NA	NA	NA	jgi|Nemve1|206043|fgenesh1_pg.scaffold_65000078	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp235460_c0_seq1
XP_015754923.1	GASU01030560.1	adi_EST_assem_9208	comp5166_c0_seq3	NA	c012968	NA	Contig_982	isotig11950	comp1534_c14_seq174	NA	NA	jgi|Nemve1|171813|estExt_gwp.C_1900084	NA	NA	FX498238.1	Unigene21071_Mix_Normal_N	NA	bu_91849.1_c164	c57074_g1_i6	NA	comp2634_c0_seq1	Spi_isotig06700	comp251142_c1_seq2
XP_015754915.1	GASU01083476.1	adi_EST_assem_17163	comp104332_c0_seq1	NA	c006206	Locus_3578_Transcript_1/5_Confidence_1.0_Length_1941	NA	NA	comp51941_c0_seq1	NA	comp22314_c0_seq2	NA	NA	NA	FX448009.1	Unigene136385_Mix_Normal_N	NA	NA	c61967_g2_i5	NA	NA	NA	comp244744_c0_seq1
XP_015754921.1	GASU01084528.1	adi_EST_assem_2008	NA	NA	c016218	NA	Contig_13802	NA	comp19191_c0_seq1	NA	NA	jgi|Nemve1|243974|estExt_fgenesh1_pg.C_1030051	comp43783_c0_seq1	isotig03750	FX445398.1	Unigene10599_Mix_Normal_N	NA	bu_91849.1_c20479	NA	comp38527_c0_seq4	NA	Spi_isotig06037	comp230958_c0_seq3
XP_015754911.1	NA	NA	comp30322_c0_seq1	NA	c002379	NA	Contig_37573	NA	NA	NA	NA	NA	NA	NA	FX441408.1	NA	NA	NA	c56825_g1_i3	NA	NA	NA	comp243924_c1_seq10
XP_015754929.1	GASU01015280.1	adi_EST_assem_17974	NA	NA	c009720p	NA	Contig_4800	NA	NA	NA	comp13229_c1_seq4	NA	comp49169_c0_seq1	NA	FX462656.1	Unigene34341_Mix_Normal_N	c10124_g1_i1	NA	c49551_g1_i1	comp9578_c0_seq1	comp178222_c0_seq1	NA	NA
XP_015754919.1	GASU01031006.1	adi_EST_assem_8552	comp22635_c0_seq1	NA	c005410p	Locus_15979_Transcript_1/1_Confidence_1.0_Length_1702	NA	isotig10697	comp9845_c0_seq1	NA	comp13229_c0_seq1	jgi|Nemve1|206717|fgenesh1_pg.scaffold_73000012	NA	isotig05339	FX453985.1	Unigene18332_Mix_Normal_N	NA	NA	c52969_g1_i1	NA	comp6709_c1_seq1	Spi_isotig04872	comp237582_c0_seq2
XP_015754933.1	NA	adi_EST_assem_19394	NA	NA	c005236	Locus_7080_Transcript_1/1_Confidence_1.0_Length_1577	Contig_2423	NA	comp29017_c0_seq1	NA	NA	NA	comp43070_c0_seq8	NA	FX503000.1	NA	NA	NA	c57587_g1_i2	NA	NA	NA	comp254404_c4_seq2
XP_015754934.1	GASU01015647.1	adi_EST_assem_2901	NA	NA	c007081	NA	NA	NA	NA	NA	comp16749_c0_seq2	jgi|Nemve1|243879|estExt_fgenesh1_pg.C_1010017	NA	NA	FX436424.1	Unigene6129_Mix_Normal_N	NA	NA	c58124_g1_i3	comp6271_c0_seq2	NA	NA	comp228001_c0_seq2
XP_015754939.1	GASU01076005.1	adi_EST_assem_16331	NA	NA	c016828	NA	Contig_13972	NA	NA	NA	NA	jgi|Nemve1|243880|estExt_fgenesh1_pg.C_1010018	NA	NA	NA	NA	c15651_g1_i1	NA	NA	NA	NA	Spi_isotig07215	NA
XP_015754942.1	GASU01014054.1	NA	NA	contig146660	c018607	NA	Contig_24153	NA	NA	comp1727_c0_seq1	NA	NA	comp41002_c0_seq1	isotig06986	FX436784.1	Unigene115568_Mix_Normal_N	NA	bu_91849.1_lrc17899	c50301_g1_i1	NA	comp4165_c0_seq1	NA	comp235573_c0_seq1
XP_015754943.1	GASU01030057.1	adi_EST_assem_6809	comp155209_c0_seq1	NA	NA	Locus_7408_Transcript_2/3_Confidence_1.0_Length_390	Contig_8013	isotig32386	comp178_c0_seq2	comp361_c0_seq1	NA	jgi|Nemve1|109201|e_gw.93.268.1	comp46888_c0_seq1	isotig23654	NA	Unigene47190_Mix_Normal_N	c10141_g1_i1	NA	NA	comp473_c0_seq1	NA	Spi_isotig14855	NA
XP_015754941.1	GASU01040047.1	adi_EST_assem_16959	NA	NA	c019939	NA	Contig_21299	NA	comp152679_c0_seq1	comp11082_c0_seq1	NA	NA	NA	NA	FX440689.1	NA	NA	NA	c42972_g1_i1	comp34121_c0_seq1	NA	Spi_isotig06614	NA
XP_015754938.1	GASU01084301.1	adi_EST_assem_2457	NA	NA	c014683	NA	Contig_20110	isotig10262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XP_015754936.1	GASU01004271.1	adi_EST_assem_12043	comp13293_c0_seq1	NA	c004542	NA	NA	NA	comp18115_c0_seq2	NA	comp5257_c1_seq1	jgi|Nemve1|177096|estExt_GenewiseH_1.C_10673	NA	NA	FX438927.1	NA	NA	NA	c62350_g1_i6	NA	NA	NA	comp241998_c0_seq1
XP_015754944.1	NA	adi_EST_assem_9929	comp22794_c0_seq1	NA	c004508p	NA	NA	NA	comp9747_c0_seq1	comp42703_c0_seq1	NA	jgi|Nemve1|243730|estExt_fgenesh1_pg.C_970034	comp59536_c0_seq1	NA	FX462556.1	Unigene145629_Mix_Normal_N	c15481_g1_i1	NA	c61010_g2_i7	comp23599_c0_seq3	NA	NA	comp261489_c2_seq5
XP_015754885.1	GASU01040311.1	adi_EST_assem_10417	NA	NA	c004508m	NA	Contig_17495	NA	comp87700_c0_seq1	NA	comp73391_c0_seq1	jgi|Nemve1|163533|estExt_gwp.C_410085	NA	NA	FX455575.1	NA	NA	NA	c55148_g1_i1	NA	NA	NA	comp253146_c2_seq6
XP_015754950.1	GASU01086896.1	adi_EST_assem_17527	comp54134_c0_seq1	NA	c006808p	NA	NA	NA	NA	comp16216_c0_seq1	NA	jgi|Nemve1|95856|e_gw.41.49.1	NA	NA	FX497320.1	Unigene72396_Mix_Normal_N	c11652_g1_i2	bu_91849.1_c36617	c39634_g1_i1	NA	comp18851_c0_seq2	Spi_isotig12235	comp236236_c0_seq4
XP_015754951.1	NA	NA	comp218071_c0_seq1	NA	c025776	NA	Contig_1135	NA	comp115650_c0_seq1	NA	NA	jgi|Nemve1|240928|estExt_fgenesh1_pg.C_370032	NA	NA	FX494109.1	NA	c7667_g1_i1	NA	c49317_g1_i1	comp32741_c0_seq1	NA	NA	NA
XP_015754953.1	GASU01020995.1	adi_EST_assem_5467	comp2219_c4_seq6	contig69971	c003764	Locus_3439_Transcript_2/2_Confidence_1.0_Length_1406	Contig_13679	isotig09125	comp4297_c1_seq1	comp5464_c0_seq1	comp32744_c0_seq1	NA	comp41202_c0_seq1	NA	FX496695.1	NA	NA	bu_91849.1_c27	c51531_g1_i1	comp3661_c0_seq1	comp16600_c0_seq1	Spi_isotig05862	NA
XP_015754886.1	NA	NA	NA	NA	NA	NA	NA	NA	comp14439_c0_seq1	NA	comp13834_c0_seq2	jgi|Nemve1|237812|estExt_fgenesh1_pg.C_10273	NA	isotig04278	FX803098.1	Unigene33862_Mix_Normal_N	c14419_g1_i2	bu_91849.1_c108	c52797_g1_i2	NA	NA	Spi_isotig06006	comp251645_c0_seq9
XP_015754955.1	NA	adi_EST_assem_1826	NA	NA	c000908p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	c57896_g1_i2	NA	NA	NA	comp242167_c0_seq2
XP_015754956.1	GASU01092371.1	adi_EST_assem_8866	NA	NA	c013574	NA	Contig_40207	NA	NA	NA	NA	jgi|Nemve1|167977|estExt_gwp.C_970080	NA	NA	FX459149.1	NA	c33776_g1_i1	NA	c57346_g1_i1	NA	comp126514_c0_seq1	NA	comp249882_c0_seq1
XP_015754958.1	GASU01080419.1	adi_EST_assem_5226	NA	NA	c019965	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	c57495_g1_i1	NA	NA	NA	comp261287_c0_seq2
XP_015754960.1	GASU01031293.1	adi_EST_assem_431	NA	contig203713	NA	Locus_882_Transcript_1/6_Confidence_1.0_Length_1971	Contig_4342	isotig10563	NA	comp2043_c0_seq1	comp1211_c0_seq2	jgi|Nemve1|12130|gw.103.8.1	NA	isotig03732	FX502760.1	Unigene17757_Mix_Normal_N	c9532_g1_i1	bu_91849.1_lrc51809	c60269_g1_i1	comp2746_c0_seq1	comp2194_c1_seq1	Spi_isotig05839	comp246062_c0_seq1
XP_015754961.1	NA	adi_EST_assem_8291	NA	NA	c011852	NA	Contig_25184	isotig11791	comp6385_c0_seq1	comp12758_c0_seq1	comp13873_c0_seq1	jgi|Nemve1|166341|estExt_gwp.C_730024	comp41742_c0_seq1	isotig05166	FX457804.1	Unigene78595_Mix_Normal_N	NA	bu_91849.1_c4384	c59797_g7_i1	comp9595_c0_seq1	NA	Spi_isotig05718	NA
XP_015754892.1	NA	NA	comp15759_c0_seq1	NA	NA	NA	NA	NA	comp3480_c0_seq1	NA	NA	jgi|Nemve1|169781|estExt_gwp.C_1330035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp249007_c0_seq3
XP_015754982.1	GASU01031425.1	adi_EST_assem_35185	comp37_c2_seq2	NA	c026850	NA	Contig_4688	isotig26065	comp217_c0_seq1	comp95_c0_seq1	comp201060_c0_seq1	jgi|Nemve1|189003|estExt_GenewiseH_1.C_1330048	NA	isotig16004	FX491935.1	Unigene45920_Mix_Normal_N	c7697_g1_i3	bu_91849.1_c41477	c47004_g1_i1	comp783_c0_seq1	NA	Spi_isotig14224	comp221785_c0_seq1
XP_015754975.1	GASU01080510.1	adi_EST_assem_4106	NA	NA	c007929	Locus_770_Transcript_1/2_Confidence_1.0_Length_1732	Contig_1839	isotig09571	comp23149_c0_seq1	comp21856_c0_seq1	NA	NA	NA	NA	FX439165.1	NA	NA	bu_91849.1_c1380	c55699_g1_i1	comp19230_c0_seq1	NA	NA	comp260456_c1_seq2
