AdigNCBI_PRO	Acervicorn_PRO	Adigitifer_PRO	Aelegantis_PRO	Ahyacinthu_PRO	Amillepora_PRO	Apallida_PRO	Apalmata_PRO	Atenuis_PRO	Fscutaria_PRO	Mauretenra_PRO	Mcavernosa_PRO	Nvectensis_PRO	Ofaveolata_PRO	Pastreoide_PRO	Paustralie_PRO	Pcarnosus_PRO	Pdaedalea_PRO	Pdamicorni_PRO	Plobata_PRO	Pstrigosa_PRO	Shystrix_PRO	Spistillat_PRO	Ssiderea_PRO
XP_015773049.1	NA	NA	comp1947_c0_seq1	NA	NA	Locus_5580_Transcript_3/6_Confidence_1.0_Length_1024	NA	NA	NA	NA	NA	jgi|Nemve1|170611|estExt_gwp.C_1510074	NA	NA	NA	NA	NA	NA	NA	comp100533_c0_seq1	NA	NA	NA
XP_015765213.1	GASU01084048.1	adi_EST_assem_5719	NA	NA	c006730	NA	Contig_19542	NA	comp2705_c0_seq1	NA	NA	jgi|Nemve1|133|gw.320.1.1	NA	NA	NA	NA	NA	NA	c39343_g1_i2	NA	comp64193_c0_seq1	Spi_isotig04827	comp249721_c0_seq1
XP_015749486.1	GASU01014995.1	adi_EST_assem_3183	comp5043_c0_seq1	NA	c007032	Locus_352_Transcript_2/2_Confidence_1.0_Length_1596	Contig_680	isotig09881	comp970_c0_seq1	comp3833_c0_seq1	NA	jgi|Nemve1|243069|estExt_fgenesh1_pg.C_780060	NA	NA	NA	Unigene115196_Mix_Normal_N	NA	NA	c10368_g1_i1	comp4379_c0_seq1	NA	Spi_isotig05449	comp217761_c0_seq1
XP_015754732.1	NA	NA	NA	NA	c006501	Locus_1766_Transcript_4/9_Confidence_1.0_Length_788	Contig_13188	isotig19090	NA	NA	NA	jgi|Nemve1|162224|estExt_gwp.C_280123	NA	isotig12854	NA	NA	c12900_g1_i1	NA	NA	comp899_c0_seq1	comp221_c1_seq1	Spi_isotig11472	NA
XP_015780785.1	NA	adi_EST_assem_1822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XP_015780454.1	NA	NA	NA	NA	c019674	NA	Contig_21816	NA	NA	NA	NA	NA	comp43413_c0_seq1	NA	NA	Unigene12400_Mix_Normal_N	NA	NA	NA	NA	NA	NA	NA
XP_015773802.1	GASU01047925.1	adi_EST_assem_24233	NA	NA	c027995	NA	Contig_7452	NA	comp22950_c0_seq1	NA	NA	NA	NA	NA	FX802584.1	NA	c10447_g1_i1	NA	c58012_g5_i1	NA	NA	Spi_isotig10171	comp254872_c1_seq2
XP_015755443.1	NA	NA	NA	NA	NA	NA	Contig_38116	NA	NA	NA	NA	NA	NA	NA	FX462583.1	NA	NA	NA	c56732_g1_i1	NA	NA	NA	NA
XP_015755817.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	jgi|Nemve1|115608|e_gw.133.158.1	NA	NA	FX453219.1	NA	NA	NA	c57200_g1_i2	NA	NA	NA	comp247836_c2_seq5
XP_015759539.1	NA	NA	comp8447_c0_seq1	NA	NA	Locus_9461_Transcript_1/2_Confidence_1.0_Length_3910	NA	NA	NA	comp39796_c0_seq3	NA	NA	comp46544_c0_seq14	NA	FX435725.1	Unigene47177_Mix_Normal_N	NA	NA	NA	NA	NA	NA	NA
XP_015748735.1	GASU01093923.1	adi_EST_assem_6277	NA	NA	c010934	NA	Contig_10161	NA	NA	NA	comp120029_c0_seq1	NA	NA	isotig13051	NA	NA	c16977_g1_i1	bu_91849.1_c21856	c52205_g1_i1	comp34212_c0_seq2	comp20462_c0_seq3	NA	NA
XP_015769939.1	GASU01074947.1	adi_EST_assem_13092	NA	NA	c013563	NA	Contig_37294	isotig12170	NA	comp15817_c0_seq1	NA	jgi|Nemve1|181680|estExt_GenewiseH_1.C_300389	NA	NA	FX491544.1	NA	NA	NA	NA	comp2947_c0_seq1	comp178458_c0_seq1	NA	NA
XP_015774692.1	GASU01031127.1	adi_EST_assem_39	NA	NA	NA	NA	Contig_31	isotig14835	NA	NA	NA	NA	NA	isotig08422	NA	Unigene126658_Mix_Normal_N	c7133_g1_i1	NA	c62908_g8_i1	comp7749_c0_seq1	NA	NA	NA
XP_015774578.1	NA	adi_EST_assem_781	NA	contig147894	NA	NA	Contig_1189	isotig04255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spi_isotig01882	NA
XP_015761778.1	GASU01079612.1	NA	comp31714_c0_seq1	NA	NA	NA	NA	NA	comp18781_c0_seq1	comp2816_c0_seq1	NA	jgi|Nemve1|229113|fgenesh1_pm.scaffold_54000005	NA	NA	NA	Unigene95428_Mix_Normal_N	NA	bu_91849.1_c34647	c48048_g1_i2	NA	comp51934_c0_seq1	NA	comp228908_c0_seq2
XP_015772207.1	NA	adi_EST_assem_6008	NA	NA	c007232p	NA	Contig_3462	isotig09609	NA	comp51338_c0_seq1	comp2816_c0_seq3	NA	comp42233_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp239160_c0_seq2
XP_015769986.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp45571_c0_seq1	NA	FX435915.1	NA	NA	NA	NA	NA	comp54770_c0_seq7	NA	comp260929_c0_seq1
XP_015766907.1	NA	adi_EST_assem_1684	NA	NA	NA	NA	NA	NA	comp32581_c0_seq1	comp96512_c0_seq1	NA	NA	NA	NA	FX438609.1	NA	NA	NA	c58927_g1_i3	NA	comp44017_c0_seq1	NA	NA
XP_015750638.1	GASU01095141.1	adi_EST_assem_10838	NA	NA	NA	NA	Contig_20055	isotig10192	comp35916_c0_seq2	comp36108_c0_seq1	NA	NA	NA	NA	FX438639.1	NA	NA	NA	c35568_g1_i2	NA	NA	NA	comp255600_c0_seq1
XP_015773029.1	GASU01084445.1	adi_EST_assem_9760	comp57023_c0_seq1	NA	c020814	NA	Contig_38548	NA	comp11010_c0_seq1	NA	comp13978_c0_seq1	NA	NA	NA	NA	Unigene11431_Mix_Normal_N	c10152_g1_i1	NA	c38457_g1_i2	comp139505_c0_seq1	NA	NA	NA
XP_015763511.1	GASU01084026.1	adi_EST_assem_6802	NA	NA	c002410	Locus_8240_Transcript_1/1_Confidence_1.0_Length_2282	NA	NA	comp4830_c0_seq2	NA	NA	jgi|Nemve1|129977|e_gw.271.1.1	comp45392_c0_seq1	NA	FX460044.1	NA	NA	NA	c60989_g1_i4	NA	NA	NA	comp257315_c0_seq1
XP_015757672.1	GASU01081245.1	adi_EST_assem_3564	NA	NA	NA	NA	F66KHFO01DGJJ7	isotig21921	NA	NA	NA	NA	comp95931_c0_seq1	NA	NA	Unigene114861_Mix_Normal_N	c14408_g1_i1	NA	NA	NA	NA	Spi_isotig10554	comp238111_c0_seq2
XP_015775629.1	GASU01043736.1	NA	NA	NA	c016776	NA	NA	NA	NA	comp272553_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	c29878_g1_i1	NA	NA	NA	NA
XP_015776438.1	GASU01080573.1	adi_EST_assem_3394	NA	NA	c015356	NA	NA	NA	NA	NA	comp12871_c0_seq1	NA	comp27996_c0_seq1	NA	NA	NA	NA	NA	c46719_g1_i1	NA	NA	NA	NA
XP_015770662.1	GASU01080599.1	adi_EST_assem_1752	comp38078_c0_seq1	NA	c018105	NA	Contig_14177	isotig11446	comp22650_c0_seq2	comp3154_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	c52512_g1_i2	NA	comp27547_c0_seq1	Spi_isotig11455	comp248467_c2_seq12
XP_015777596.1	NA	NA	NA	NA	NA	Locus_7215_Transcript_1/1_Confidence_1.0_Length_305	NA	NA	NA	NA	comp16606_c0_seq1	NA	comp16158_c0_seq1	NA	FX461518.1	Unigene17207_Mix_Normal_N	c12865_g1_i1	NA	NA	comp7872_c0_seq1	NA	NA	NA
XP_015773967.1	GASU01085106.1	adi_EST_assem_5565	NA	NA	c011199	NA	Contig_17278	NA	NA	NA	NA	jgi|Nemve1|244101|estExt_fgenesh1_pg.C_1090026	comp44182_c0_seq1	NA	NA	NA	NA	NA	c56242_g5_i1	NA	NA	Spi_isotig10964	comp259444_c0_seq1
XP_015761200.1	GASU01030964.1	adi_EST_assem_1940	NA	NA	c020677	Locus_3971_Transcript_3/3_Confidence_1.0_Length_543	Contig_17960	isotig16713	NA	comp32075_c0_seq1	comp147_c0_seq1	jgi|Nemve1|176975|estExt_GenewiseH_1.C_10211	NA	isotig10409	FX502465.1	Unigene47828_Mix_Normal_N	c13674_g1_i1	NA	NA	comp541_c0_seq1	NA	Spi_isotig05775	NA
XP_015753944.1	NA	adi_EST_assem_6367	NA	NA	c019204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	c41183_g1_i3	NA	NA	NA	NA
XP_015766272.1	GASU01084501.1	adi_EST_assem_1283	comp29526_c0_seq1	NA	c005332	NA	NA	NA	NA	NA	NA	jgi|Nemve1|245349|estExt_fgenesh1_pg.C_1560033	NA	NA	FX452312.1	NA	NA	NA	c60195_g3_i5	NA	NA	NA	NA
XP_015763841.1	GASU01031187.1	adi_EST_assem_4615	comp9876_c0_seq7	contig52624_109083	c004844	Locus_11981_Transcript_1/1_Confidence_1.0_Length_1605	Contig_9174	isotig12910	comp8066_c2_seq1	comp10336_c0_seq1	comp2408_c1_seq2	NA	comp45683_c0_seq1	NA	FX437134.1	CL458.Contig2_Mix_Normal_N	NA	bu_91849.1_c2474	c59174_g1_i2	NA	comp7124_c0_seq1	Spi_isotig05640	NA
XP_015751168.1	GASU01070419.1	adi_EST_assem_7455	NA	NA	c010892	NA	NA	NA	NA	NA	comp37883_c0_seq1	jgi|Nemve1|79980|e_gw.2.429.1	NA	NA	NA	Unigene148476_Mix_Normal_N	NA	NA	c60044_g1_i8	NA	NA	Spi_isotig04918	comp257174_c0_seq2
XP_015775498.1	NA	NA	comp182123_c0_seq1	NA	NA	NA	NA	NA	comp48992_c0_seq1	NA	comp54273_c0_seq1	NA	NA	NA	FX484431.1	NA	NA	NA	NA	NA	NA	Spi_isotig07908	comp209224_c0_seq1
XP_015763240.1	NA	adi_EST_assem_2545	comp50145_c0_seq1	NA	NA	NA	NA	NA	comp66721_c0_seq1	NA	comp51535_c0_seq1	NA	NA	NA	FX503044.1	NA	NA	NA	c63005_g2_i1	NA	NA	NA	comp249037_c0_seq3
XP_015756762.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp41921_c0_seq1	NA	NA	NA	NA	FX455063.1	NA	NA	NA	c6699_g1_i1	NA	NA	Spi_isotig05938	NA
XP_015758891.1	GASU01014728.1	adi_EST_assem_3671	comp7699_c0_seq1	NA	c004109p	Locus_11791_Transcript_1/1_Confidence_1.0_Length_1999	Contig_4384	isotig09147	comp1955_c0_seq1	NA	comp2991_c0_seq1	jgi|Nemve1|99103|e_gw.52.67.1	NA	NA	FX452888.1	NA	c10961_g1_i3	bu_91849.1_c501	c57238_g1_i1	comp5250_c0_seq1	comp508_c4_seq7	Spi_isotig04732	comp258759_c0_seq1
XP_015757414.1	GASU01083895.1	adi_EST_assem_7065	comp9635_c0_seq2	NA	c003819	NA	Contig_34948	NA	NA	comp100204_c0_seq1	NA	jgi|Nemve1|239937|estExt_fgenesh1_pg.C_220044	NA	NA	FX465113.1	NA	c17774_g1_i2	bu_91849.1_c24529	c57328_g1_i2	NA	NA	NA	comp238672_c0_seq2
XP_015780934.1	GASU01079591.1	NA	NA	NA	c006168	Locus_354_Transcript_1/12_Confidence_1.0_Length_5267	NA	NA	comp21733_c0_seq1	NA	NA	NA	NA	NA	FX461280.1	NA	NA	NA	c60841_g3_i1	NA	comp14465_c0_seq1	NA	comp253836_c0_seq3
XP_015767447.1	GASU01019386.1	adi_EST_assem_7724	NA	NA	c020079	Locus_15158_Transcript_1/1_Confidence_1.0_Length_1236	Contig_237	isotig06401	NA	comp46767_c0_seq1	NA	jgi|Nemve1|184260|estExt_GenewiseH_1.C_550230	NA	NA	FX498675.1	NA	NA	NA	NA	NA	NA	NA	NA
XP_015759589.1	NA	adi_EST_assem_11279	NA	NA	c020082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unigene78078_Mix_Normal_N	NA	NA	NA	NA	NA	NA	NA
XP_015762615.1	GASU01092776.1	adi_EST_assem_8759	NA	NA	c026691	Locus_14330_Transcript_1/1_Confidence_1.0_Length_864	Contig_19630	NA	NA	NA	NA	jgi|Nemve1|25684|gw.184.9.1	NA	NA	FX454432.1	NA	NA	bu_91849.1_c45535	c51632_g1_i1	NA	NA	NA	comp255962_c0_seq4
XP_015766877.1	GASU01094560.1	adi_EST_assem_19836	NA	NA	c010527	NA	Contig_31841	NA	NA	NA	NA	NA	NA	NA	FX801050.1	NA	NA	NA	c61207_g2_i5	NA	NA	NA	NA
XP_015768617.1	NA	adi_EST_assem_5579	NA	NA	c005943	NA	Contig_21651	NA	comp21227_c0_seq1	NA	NA	NA	comp12123_c0_seq1	NA	FX439348.1	Unigene110991_Mix_Normal_N	NA	NA	c60888_g3_i5	NA	NA	NA	NA
XP_015768583.1	NA	NA	NA	NA	c021647	Locus_13208_Transcript_3/4_Confidence_1.0_Length_877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spi_isotig03124	NA
XP_015763401.1	NA	adi_EST_assem_18774	NA	NA	NA	NA	Contig_11949	NA	NA	NA	comp138403_c0_seq2	jgi|Nemve1|182082|estExt_GenewiseH_1.C_340050	NA	NA	FX504972.1	NA	NA	NA	NA	NA	NA	NA	comp251405_c0_seq2
XP_015764019.1	NA	adi_EST_assem_7436	NA	NA	c010083	NA	NA	NA	NA	NA	NA	jgi|Nemve1|244288|estExt_fgenesh1_pg.C_1170004	NA	NA	FX470279.1	NA	NA	NA	c56837_g1_i4	NA	NA	NA	comp260417_c0_seq2
XP_015752694.1	GASU01079827.1	adi_EST_assem_6181	NA	NA	NA	Locus_2444_Transcript_1/3_Confidence_1.0_Length_1530	Contig_11929	NA	comp28512_c0_seq4	comp3015_c0_seq1	NA	jgi|Nemve1|190533|estExt_GenewiseH_1.C_1730056	NA	NA	FX453200.1	NA	NA	NA	NA	NA	NA	Spi_isotig05494	NA
XP_015776982.1	GASU01085155.1	adi_EST_assem_2105	NA	NA	c008982	Locus_13772_Transcript_1/1_Confidence_1.0_Length_1034	Contig_31673	NA	NA	comp7893_c0_seq1	NA	NA	NA	NA	FX449281.1	Unigene81389_Mix_Normal_N	NA	bu_91849.1_c477	c44273_g1_i1	NA	NA	Spi_isotig06808	comp231410_c0_seq2
XP_015777592.1	GASU01080324.1	adi_EST_assem_8295	NA	NA	c007186	Locus_10003_Transcript_1/1_Confidence_1.0_Length_1478	Contig_14825	NA	NA	comp32426_c0_seq2	NA	NA	comp41044_c0_seq1	NA	NA	Unigene22136_Mix_Normal_N	c14200_g1_i1	NA	c57483_g2_i1	NA	comp5556_c0_seq1	Spi_isotig05392	comp234755_c0_seq1
XP_015773663.1	GASU01084530.1	adi_EST_assem_16984	NA	NA	c006486	NA	Contig_23657	NA	comp40418_c0_seq1	NA	NA	jgi|Nemve1|230649|fgenesh1_pm.scaffold_228000003	comp44992_c0_seq1	NA	FX490285.1	Unigene15375_Mix_Normal_N	NA	bu_91849.1_c2190	c51212_g1_i1	comp32426_c0_seq1	NA	NA	comp180839_c0_seq1
XP_015765470.1	GASU01020205.1	adi_EST_assem_14702	NA	NA	c012728	NA	Contig_15285	NA	NA	NA	NA	jgi|Nemve1|82762|e_gw.6.72.1	NA	isotig04002	FX436494.1	NA	NA	NA	c57256_g1_i2	NA	NA	NA	comp261802_c1_seq1
XP_015769879.1	NA	NA	NA	NA	c019739	NA	NA	NA	comp78076_c0_seq2	NA	NA	NA	NA	NA	FX438978.1	NA	NA	NA	c57941_g1_i2	NA	NA	NA	comp251948_c1_seq1
XP_015768757.1	NA	NA	NA	NA	c005502	NA	NA	NA	comp29445_c0_seq1	NA	NA	NA	NA	NA	FX460900.1	NA	NA	NA	c59474_g1_i2	NA	NA	NA	NA
XP_015763647.1	NA	adi_EST_assem_18198	comp1128_c0_seq9	NA	c007974	NA	Contig_5524	NA	comp2617_c0_seq3	NA	NA	jgi|Nemve1|134213|e_gw.332.16.1	comp7961_c0_seq1	isotig21604	NA	NA	NA	NA	c5210_g1_i2	comp157252_c0_seq1	NA	NA	comp255217_c0_seq5
XP_015778350.1	GASU01031654.1	NA	NA	contig169674	c024151	NA	Contig_304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	c61907_g1_i1	NA	NA	Spi_isotig05110	NA
XP_015779636.1	GASU01031827.1	adi_EST_assem_2087	comp7381_c0_seq1	NA	c013422	Locus_8840_Transcript_1/3_Confidence_1.0_Length_1919	Contig_7045	isotig09454	NA	comp41854_c0_seq2	comp4651_c0_seq1	jgi|Nemve1|102934|e_gw.66.41.1	comp42999_c0_seq1	NA	NA	NA	NA	NA	c44067_g1_i1	comp2828_c0_seq1	NA	NA	NA
XP_015763206.1	GASU01018507.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp42361_c0_seq2	NA	NA	NA	FX464436.1	NA	NA	NA	c62079_g3_i2	NA	NA	NA	NA
XP_015763514.1	GASU01043529.1	NA	NA	NA	c015523	NA	NA	isotig10422	comp90528_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	c63022_g3_i2	comp30852_c0_seq2	NA	Spi_isotig00676	comp236942_c0_seq1
XP_015762073.1	NA	adi_EST_assem_895	NA	NA	c000167	NA	NA	NA	NA	NA	NA	NA	NA	NA	FX458174.1	NA	NA	NA	c62111_g1_i1	NA	NA	NA	NA
XP_015766913.1	NA	adi_EST_assem_18693	NA	NA	c018868	Locus_15243_Transcript_1/1_Confidence_1.0_Length_1027	Contig_39712	NA	NA	comp15839_c0_seq2	comp96977_c0_seq1	NA	NA	NA	FX448594.1	NA	NA	bu_91849.1_c6076	c180902_g1_i1	NA	NA	Spi_isotig03072	NA
XP_015766855.1	NA	adi_EST_assem_2400	NA	NA	c009200	Locus_11189_Transcript_1/4_Confidence_1.0_Length_1775	Contig_37452	NA	NA	NA	NA	jgi|Nemve1|129467|e_gw.266.5.1	comp35508_c0_seq1	NA	NA	NA	NA	NA	c50002_g1_i1	comp2491_c0_seq1	NA	NA	comp235272_c0_seq1
XP_015752790.1	GASU01030362.1	adi_EST_assem_1013	comp11918_c0_seq1	contig148408	c008265	NA	Contig_11400	NA	NA	comp2894_c0_seq2	NA	jgi|Nemve1|240213|estExt_fgenesh1_pg.C_260035	comp43826_c0_seq1	NA	FX451733.1	Unigene16271_Mix_Normal_N	c16039_g1_i1	NA	c58591_g3_i1	comp2157_c0_seq1	NA	Spi_isotig05867	comp210823_c0_seq1
XP_015755493.1	NA	adi_EST_assem_11971	NA	NA	c002114	NA	NA	NA	NA	NA	comp22628_c0_seq2	NA	NA	NA	FX436678.1	NA	NA	NA	NA	NA	comp34931_c0_seq1	NA	comp231641_c0_seq3
XP_015751156.1	NA	adi_EST_assem_7032	comp1802_c0_seq1	NA	c006157	Locus_1131_Transcript_1/6_Confidence_1.0_Length_2408	Contig_35836	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	c55213_g1_i1	NA	comp32475_c0_seq1	Spi_isotig06393	NA
XP_015751167.1	GASU01083593.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	jgi|Nemve1|196609|fgenesh1_pg.scaffold_2000231	comp36097_c0_seq2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XP_015769289.1	GASU01083606.1	adi_EST_assem_4098	NA	NA	c004857p	Locus_1319_Transcript_1/1_Confidence_1.0_Length_1430	Contig_15093	isotig09127	NA	comp13818_c0_seq2	NA	jgi|Nemve1|173016|estExt_gwp.C_2320059	comp38861_c0_seq1	NA	FX503897.1	NA	NA	bu_91849.1_c10304	c50914_g1_i1	comp5016_c0_seq1	comp10434_c0_seq1	Spi_isotig06607	comp252841_c0_seq3
XP_015755819.1	NA	adi_EST_assem_17343	NA	NA	NA	NA	Contig_9294	isotig10127	NA	NA	comp7742_c0_seq4	NA	NA	NA	NA	NA	NA	NA	c32460_g1_i1	NA	NA	NA	NA
XP_015767261.1	GASU01014448.1	adi_EST_assem_852	NA	contig70859_157889	c009688	NA	Contig_38799	isotig10417	comp2777_c0_seq2	comp3139_c0_seq1	NA	NA	NA	NA	NA	NA	c13292_g1_i2	NA	c62310_g4_i2	comp5623_c0_seq1	comp5430_c1_seq1	Spi_isotig06787	NA
XP_015771499.1	GASU01020850.1	adi_EST_assem_5015	NA	NA	NA	NA	Contig_3924	NA	NA	NA	NA	jgi|Nemve1|165724|estExt_gwp.C_630173	NA	NA	NA	NA	NA	NA	c57438_g5_i4	comp77823_c0_seq1	NA	NA	comp260604_c0_seq2
XP_015748187.1	NA	NA	NA	NA	NA	Locus_13090_Transcript_1/1_Confidence_1.0_Length_871	NA	NA	NA	NA	NA	NA	NA	isotig04392	FX435646.1	Unigene47217_Mix_Normal_N	c14646_g1_i2	bu_91849.1_c19616	c60472_g1_i1	comp16904_c0_seq1	comp8743_c0_seq1	NA	NA
XP_015750963.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp9276_c0_seq1	NA	NA	NA	NA	FX490951.1	NA	NA	NA	NA	NA	comp16678_c0_seq1	NA	NA
XP_015748186.1	NA	adi_EST_assem_5792	comp44543_c0_seq1	NA	NA	NA	Contig_10089	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spi_isotig06774	NA
XP_015765481.1	GASU01087225.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp28511_c0_seq1	NA	NA	NA	FX467581.1	Unigene115393_Mix_Normal_N	NA	NA	c57644_g1_i1	NA	NA	NA	NA
XP_015761875.1	GASU01080521.1	adi_EST_assem_3131	NA	NA	c008387	NA	Contig_1985	NA	NA	comp38448_c0_seq1	NA	jgi|Nemve1|177762|estExt_GenewiseH_1.C_40135	comp44528_c0_seq1	NA	FX461922.1	NA	NA	NA	c51996_g1_i1	comp5292_c0_seq1	NA	NA	NA
XP_015756246.1	GASU01031886.1	adi_EST_assem_1236	comp120659_c0_seq1	contig152709	NA	Locus_8718_Transcript_1/3_Confidence_1.0_Length_707	Contig_7734	NA	comp288_c0_seq1	comp942_c0_seq1	NA	jgi|Nemve1|243762|estExt_fgenesh1_pg.C_980020	comp39633_c0_seq1	NA	NA	Unigene47097_Mix_Normal_N	c13080_g1_i1	NA	c47422_g1_i1	comp1428_c0_seq1	NA	Spi_isotig12164	comp223584_c0_seq1
XP_015777007.1	NA	NA	comp131240_c0_seq1	NA	NA	Locus_12313_Transcript_5/6_Confidence_1.0_Length_914	NA	NA	NA	comp143930_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XP_015778973.1	GASU01081132.1	adi_EST_assem_24959	comp33229_c0_seq1	NA	c001302m	Locus_10156_Transcript_1/2_Confidence_1.0_Length_911	NA	NA	NA	NA	NA	jgi|Nemve1|235218|estExt_fgenesh1_pm.C_1090006	NA	NA	FX460649.1	Unigene16918_Mix_Normal_N	NA	bu_91849.1_lrc18943	c60484_g3_i2	NA	NA	NA	NA
XP_015759497.1	NA	adi_EST_assem_12663	NA	NA	c014367	Locus_6079_Transcript_1/1_Confidence_1.0_Length_756	Contig_10144	isotig17901	NA	comp1920_c0_seq1	NA	jgi|Nemve1|214407|fgenesh1_pg.scaffold_199000025	NA	NA	NA	NA	c11392_g1_i1	NA	c19796_g1_i2	NA	NA	Spi_isotig06677	comp219940_c0_seq1
XP_015754257.1	NA	NA	NA	NA	c017304	NA	Contig_37822	NA	comp4735_c0_seq1	NA	NA	NA	NA	NA	FX496348.1	Unigene26047_Mix_Normal_N	NA	NA	c55079_g1_i2	comp24745_c0_seq1	comp16840_c0_seq1	Spi_isotig05587	comp230159_c0_seq1
XP_015750318.1	NA	adi_EST_assem_2809	NA	NA	c008687	NA	Contig_7857	NA	NA	NA	NA	NA	NA	NA	NA	Unigene16978_Mix_Normal_N	NA	NA	NA	comp6138_c0_seq1	NA	NA	comp249770_c0_seq5
XP_015763099.1	NA	adi_EST_assem_9952	NA	NA	NA	NA	Contig_28607	isotig09885	NA	NA	NA	jgi|Nemve1|168783|estExt_gwp.C_1130083	NA	NA	FX463568.1	NA	NA	NA	NA	NA	NA	NA	comp259231_c0_seq3
XP_015774982.1	GASU01031448.1	adi_EST_assem_2656	comp3924_c3_seq42	contig147107_5534_31354_157258	c007042	NA	Contig_5627	NA	NA	NA	NA	jgi|Nemve1|182006|estExt_GenewiseH_1.C_330089	comp42621_c0_seq1	NA	FX438420.1	Unigene136767_Mix_Normal_N	c26513_g1_i1	bu_91849.1_c22864	c54544_g1_i2	NA	comp2389_c2_seq3	Spi_isotig04782	comp255980_c0_seq1
XP_015773704.1	GASU01030618.1	adi_EST_assem_3411	NA	NA	c019899	NA	Contig_3333	NA	NA	comp1867_c0_seq1	NA	NA	NA	NA	NA	Unigene140323_Mix_Normal_N	NA	bu_91849.1_c6189	c48933_g1_i1	NA	NA	Spi_isotig02747	NA
XP_015751001.1	GASU01031661.1	adi_EST_assem_14006	NA	contig55118	c013356	NA	Contig_19560	NA	NA	NA	comp1365_c0_seq1	NA	NA	NA	NA	Unigene46261_Mix_Normal_N	NA	NA	NA	NA	NA	NA	comp237545_c0_seq6
XP_015759852.1	NA	adi_EST_assem_20764	NA	NA	c017577	NA	Contig_4810	NA	comp88148_c0_seq1	comp70267_c0_seq1	comp61303_c0_seq1	jgi|Nemve1|178803|estExt_GenewiseH_1.C_80220	NA	NA	FX802497.1	NA	NA	bu_91849.1_c60758	c59055_g4_i1	NA	comp42724_c0_seq1	Spi_isotig08401	NA
XP_015748068.1	GASU01030407.1	adi_EST_assem_300	NA	NA	c000359	Locus_1945_Transcript_1/4_Confidence_1.0_Length_7672	NA	NA	NA	NA	NA	NA	NA	NA	FX437611.1	NA	NA	NA	c61497_g1_i2	NA	NA	NA	NA
XP_015766598.1	NA	NA	NA	NA	NA	Locus_4117_Transcript_1/2_Confidence_1.0_Length_1024	NA	NA	NA	comp6392_c0_seq1	NA	jgi|Nemve1|180953|estExt_GenewiseH_1.C_240019	NA	NA	FX452443.1	Unigene35031_Mix_Normal_N	c8458_g1_i1	bu_91849.1_c24071	c39949_g1_i1	NA	NA	NA	NA
XP_015766597.1	GASU01094180.1	adi_EST_assem_7486	NA	NA	c010866	NA	Contig_1775	isotig10539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XP_015752006.1	NA	adi_EST_assem_7997	NA	NA	c001670	NA	NA	NA	comp23113_c0_seq1	NA	NA	jgi|Nemve1|235624|estExt_fgenesh1_pm.C_1860001	NA	NA	FX502417.1	NA	NA	NA	c60481_g1_i2	NA	NA	NA	comp258593_c0_seq1
XP_015769203.1	NA	adi_EST_assem_3503	comp4522_c2_seq1	contig46011_60555	c008596	Locus_631_Transcript_3/7_Confidence_1.0_Length_1398	Contig_31581	NA	comp8066_c2_seq12	NA	NA	jgi|Nemve1|175500|estExt_gwp.C_4080006	NA	NA	NA	NA	c3337_g1_i1	NA	c57240_g1_i1	NA	NA	Spi_isotig04960	NA
XP_015780243.1	NA	NA	NA	NA	c005029	NA	NA	NA	NA	NA	NA	NA	NA	NA	FX502235.1	NA	NA	NA	c57381_g1_i4	NA	NA	NA	comp248357_c0_seq3
XP_015749547.1	NA	NA	comp14588_c1_seq2	NA	NA	Locus_6467_Transcript_1/1_Confidence_1.0_Length_726	NA	NA	comp13529_c3_seq4	NA	comp14033_c1_seq3	jgi|Nemve1|106465|e_gw.82.37.1	NA	isotig05748	NA	NA	NA	NA	NA	NA	NA	NA	NA
