			K00181	K03209	K00182	K00312	K00408	K00444	K00445	K00572	K00714	K01064	K01357	K01384	K01558	K01645	K19882	K01691	K19614	K16834	K02165	K02166	K02176	K02185	K02222	K02306	K02432	K02235	K02329	K02354	K02375	K02376	K02842	K04690	K03068	K10162	K08960	K02353	K03069	K03096	K03097	K03115	K03213	K03344	K03345	K03083	K02105	K02157	K04385	K02085	K08957	K02620	K04490	K04491	K04492	K04493	K04494	K04495	K04496	K04497	K04498	K04499	K04501	K04427	K04468	K04377	K04448	K04502	K04503	K10151	K10152	K04504	K01397	K04505	K04345	K04451	K04506	K04507	K03094	K04508	K03362	K03347	K03868	K08110	K04510	K04511	K19626	K04512	K04513	K17388	K04392	K07860	K07861	K04440	K05858	K04515	K04348	K06268	K02677	K19662	K19663	K04446
																					100623371														100739238			100625452												102159839																																												396609	100516581	100626014	396603	100625117				
																																																																																															100525148	100626459		100627903				
																																																																																																100516166						
E.Ani	Camelus	cfr	102519750	102521780	102517871	102513805	102522577	102515730	102511574	102506800	102514705	102514532	102511822	102508550	102505757	102508743	102507978	102514189	102515943		102509425	102512705	102522182	102519727	102517789		102515569	102505306	102507159	102517229	102511876	102510205	102522470		102519822	102519555	102514263	102508928			102513219	102513954	102507003	102516254	102507356	102504696	102508568	102508916	102508329	102522612	102511594	102519063	102516787	102510763	102510619	102517019	102510798		102508242		102505509	102522722	102507868	102519538	102519162	102511086	102516943	102512107	102518309		102524562	102508262	102514476	102507075	102508985	102524476	102522907	102519492	102519293	102517604	102521888	102517054	102515877	102518823	102518869	102509883	102521499	102516033	102507993	102512572	102516893	102519112	102508710	102518561	102509058	102522167	102513924	106729683	102507832	102511859	102513516	102523589
					102505341	102513236		102505627		102519277	102507167	102513485	102514687								102509495						102513375						102523163		102519762			102504125			102507420									102521446	102512843								102519579		102515619				106729653										102506255					102512709	102509669				102511931	102519970		102504121						102509448	102505338	102512557	102505131					
																					102508785																	102516993												106731103																																												102503577	102513431	102521522	102515660					
																																																																																															102513996	102506589						
E.Ani	Balaenoptera	bacu	103004140	103017176	103013943	103015001	103009300	103006469	102997453	103016619	103004198	103020386	103016899	103016115	103018475	103020212	103013180	103015385	102997774	103010784	103019079	103014285	102998660	103017307	103001142		103019298	102998345	103010053	103020165		102999603	103015505		103011202	102997636	103005963	103009589	103015059	103014787	102997548	102998503	103017957	103013595	103019204	102998893	103019097	103006014	103006133	103014178	103000872	103018264	103010166	103010923	103020844	103013590	103020409	103018521	103004856		103016523	103011535	103014916	103019299	103002389	103016933	103014668	103000885	103013404	103002964	103007761	103014919	103008313	103001941	103008319	103003426	103002867	103005850	103018727	103007741	103005978	103011656	102998295	103015831	103001872	103011601	103002299	102999972	103019793	102999355	103007995	103006132	103019253	103007019	103020805	103012734	103008480	103009602	103004532	103012542	103017540	102999338
					103003752	103020927		103001360		103016910	103014029	103012928	103000687								103012235						103008493						103006051		103003673			103006135			103001174		103011896							103001169									103020894		103000044						103001311								103000011				103011520	103001023	103003148				103000605	103010894		103018202						102997603	102997432	103018247	103009446					
								103020226		103004744																												103001138																																																								103008728	103006361	102999844	102997475					
																																																																																															103007077	103003341						
E.Ani	Lipotes	lve	103071172	103078640	103089709	103087738	103087836	103070287	103079243	103083305	103091305	103087468	103078356	103091035	103085163	103081538	103080050	103083258	103082484	103090222	103069741	103091206	103090619	103069271	103090140		103091081	103076632	103079251	103086596	103088051	103074920	103081501		103073192	103070994	103090038	103082466	103084685	103072485	103075126	103078565	103077920	103086719	103071918	103074757	103078301	103085333	103072027	103083467	103073450	103074150	103069353	103068781	103068879	103085050	103077326	103073334	103089309		103079020	103086681	103084261	103075340	103075265	103089962	103071861	103083240	103090612	103077970	103072491	103073352	103091433	103070847	103074112	103089875	103089846	103089852	103090703	103078839	103072434	103070988	103090829	103082430	103071487	103091649	103069394	103089992	103074732	103081507	103074749	103076541	103079514	103084630	103086280	103081366	103088182	103078845	103073028	103090549	103086653	103081110
					103089326	103081536		103086235		103068582	103086715	103081263	103078970								103071373						103086341	103083860			103087849		103080648		103090555			103078766			103085560		103069362							103084983									103084760		103070724														103077464				103074429	103070254	103070169				103083404	103072972		103088018						103087676	103083884	103088458	103090427	103068473				
																					103070812																	103086975																																																								103078792	103078639	103075213	103070526					
																																																																																															103079287	103072903						
E.Ani	Equus	ecb	100051598	100058859	100063931	100049880	100071678	100056017	100058824	100053027	100070360	100061110	100051649	100064184	100071393	100062259	100054869	100057139	100072415	100065060	100071881	100055845	100069959	100051069	100070673		102147960	100050809	100054732	100050465	100146215	100056351	100062909		100063409	100063997	100055155	100061612			100063080	100058658	100057994		100059276	100061033	100055241	100065116	100630049	100064431	100060556	100072786	100067427	100059146	100072938	100630146	100059337	100147196	100056830		100055626	100049886	100033846	100065841	100058876	100068097	100067469	100051930	102149114	100051150	100066590	100053404	100068985	100050164	100052828	100062044	100057532	100061486	100062946	100054115	100069972	100051217	100055581	100057156	100053765	100049951	100054700	100051203	100053343	100072339	100061732	100054701	100054738	100052608	100057315	100064138	100057357	100061874	100063318	100069215	100062549	100065378
					100056092	100061145		100059157		100055450	100072609	100063730									100054568						106783041						100061635		100147353			100147200			100067965		100059048																100052216		100069613														100064302					100146880	100070200				100059585	100050052		100054194			100057652			100057961	100051558	100071654	100067434	102148270				
																					100064408																	100147654																																																								100051798	100055407	100072618	100072862					
																																																																																															100051485	100146368						
E.Ani	Myotis	myb	102240738	102245856	102255951	102240785	102240589	102241642	102256374	102249626	102260194	102240485	102256067	102243634	102247057	102241553	102248612	102240338	102249373	102253829	102257728	102253415	102259313	102254445	102262574		102254143	102240100	102250456	102238804	102261392	102241703	102255327		102258692	102248671	102257996	102247666			102252710	102243592	102238937	102242582	102264070	102248758	102252849	102248340	102260435	102246124	102262221	102250528	102240393	102245737	102255910	102259316	102258746	106726998	102242646		102260716	102253496	102259994	102254118	102246580	102257498	102260808	102238750	102263484	102254218	102252389	102251675	102242272	102251307	102244919	102244768	102247609	102260912	102251595	102239272	102250477	102245795	102260998	102261303	102245281	102240648	102260015	102258419	102244315	102254781	102259160	102239988	102249503	102259984	102238655	102262365	102251300	102250711	102260557	102243136	102249897	102245976
					102261227	102244362		102240132		102257706	102255244	102244068	102245559								102253524						102255722				102254257		102243449		102238882			102263975			102247763		102252951							102243742	102253697								102250594		102249541														102252927		102260339		102251629	102241826	102262850		102243482		102241692	102261144		102255808						102246292	102254054	102257317	102245752	102247129				
																																						102242768													102261017										102249092																102243837			102256956			102254932											102263026	102241255	102252254	102264111					
																																																			102240976										102261202																						102243164												102240650	102260966						
																																																																																																102255052						
E.Ani	Myotis	myd	102761947	102764877	102752980	102774271	102756007	102755774	102757803	102758002	102758435	102767329	102762164	102755181	102773494	102773292		102770496	102761411	102764325	102759550	102756128	102760854	102772157	102767267		102770529	102767458	102763646	102762695	102758221	102760913	102761920		102760376	102758015	102762322	102751460			102758153	102761716	102764607	102773984	102771475	102751662	102773658	102759594	102760211	102768246	102761038	102757003	102768915	102767014	102767379	102772879	102753808		102772516		102773412	102770384	102752949	102763957	102760175	102758544	102752693	102770122	102759793	102755701	102756923	102769682	102771393	102773904	102772218	102759012	102767682	102765703	102756513	102760271	102759029	102771406	102760790	102757273	102762542	102755703	102765948	102774161	102751353	102763604	102759477	102768116	102760578	102764416	102755123	102765684	102755500	102774846	102765661	102757004	102756030	102763205
					102765024	102767612		102773183		102774695	102763548	102765562	102765167														102758820				102765585		102766269		102772477			102771718			102770316		102759581							102751934	102760665								102753914		102760017														102773780		102771558	102755791		102774282	102752909				102755126	102752254		102755756	107184191					102772062	102760520	102773049	102754623	102760712				
								102771010																											107181364			102770215																																										102758008														102775351	102751685	102764742	102753757					
																																																																																															102751959							
E.Ani	Hipposideros	hai	109374803	109393219	109391554	109380253	109396735	109388973	109380535	109387605	109379609	109380276	109380555	109386296	109371280	109394395	109393008	109381653	109386891	109394969	109379449	109386256	109381994	109375602	109379621		109379180	109394953	109379491	109383276	109388314	109376300	109384984		109383144	109389112	109394476	109371312	109379591	109379589	109394423	109373126	109383306	109373415	109396217	109388396	109377341	109385980	109380327	109390647	109371742	109382635	109371340	109384898	109379461	109381289	109374260	109376808	109390943		109392135	109391270	109373579	109389465	109385136	109383211	109371251	109384251	109389297	109392488	109382891	109392458		109381602	109385440	109394672	109383642	109385796	109382554	109372373	109379398	109395450	109392275	109392650	109392816	109371534	109386400	109384578	109376114	109386644	109380150	109394502	109393041	109392215	109378976	109372542	109372443	109379237	109380289	109386578	109372505	109383198
					109389334	109377253		109389090		109390460	109392505	109392784	109393213								109387527						109395312						109396791		109389304			109391189			109384437		109371682							109391522									109389011		109392262						109371257								109394225		109372865			109374514	109379675				109386513	109392188		109393789						109377948	109378977	109373019	109392365					
																																						109394615																																							109389585																	109392748	109384329	109390284	109375958					
																																																																													109374876																		109383976	109375001						
E.Ani	Pteropus	pale	102890685	102888016	102880959	102895795	102888866	102890342	102882368	102888597	102896480	102885223	102882121	102877879	102882050	102884178	102888165	102880126	102889116	102884991	102885148	102877912	102892812	102896589	102883884		102880538	102884150	102890038	102892989	102877864	102890002	102894135		107195261	102896142	102879920	102895469	102896339		102883511	102884366	102881791	102883326	102881618	102882441	102880017	102878657	102885831	102891886	102884974	102885788	102886093	102880370	102886933	102889327	102883323	102883268	102899024		102881042	102896512	102886521	102882452	102890853	102895524	102896121	102884316	102885330	102892640	102881884	102898485	102884900	102883360	102886679	102889604	102879482	102880139	102885538	102888322	102893556	102887109	102893437	102886856	102882434	102882072	102878310	102892871	102891515	102897424	102897644	102885507	102887421	102885064	102885953	102888385	102880029	102894471	102887078	102880663	102888961	102880857
					102885080	102877979		102881682		102898026	102878209	102884543	102888263								102885949						102895634				102883426		102878169		102894479			102881158			102893812									102880260									102879836		102886172														102877853					102878089	102895058				102887360	102885107		102888145						102890689	102879238	102896030	102883156	102895490				
																					102892774														102878233			102880039																																																								102892777	102885207	102888982	102898473					
																																																																																															102885781	102880869						
E.Ani	Loxodonta	lav	100654628	100669446	100653551	100663058	100664388	100658849	100675069	100675463	100665788	100662057	100674782	100656630	100659037	100669932	100667052	100661593	100664573	100655563	100663226	100659827	100676731	100665582	100668066		100658936	100654997	100666465	100675317	100666499	100677440	100660631		100666209	100662666	100666300	100673586	100669466	100669183	100666770	100671712	100661172	100665317	100677749	100675105	100670988	100655765	100663921	100659017	100669057	100663559	100664310	100656106	100658960	100665696	100675249	100675238	100674095		100663731	100673179	100659509	100667170	100668196	100665874	100670432	100658802	100669703	100668070	100668683	100666968	100655566	100669746	100656966	100663725	100669493	100657435	100663845	100657866	100661816	100664600	100657479	100663836	100660563	100676884	100672131	100670420	100677447	100658857	100664204	100670080		100673395	100663829	100658516	100664832	100668807	100665537	100672078	100671733	100655623
					100657046	100662337		100664544		100660629	100668409	100658979	100655805								100656792						100657335				100674586				100658734			100657649			100653935		104847289																100675757		100661096														100674245					100666951	100657114				100676243	100670017		100668870						100674229	100668575	100653927	100677352					
																					100658110																	100657749																																																								100654943	100670617	104846071	100661626					
																																																																																															100672435	100663321						
E.Ani	Monodelphis	mdo	100018836	100032741	100011991	100024702	100026048	100012859	100010861	100014091	100027787	100025627	100010973	100028529	100012964	100020202	100029923	100032512	100018306	100009840	100023104	100033009	100017618	100617913	100021647		100027981	100023490	100030835	100025855	100016198	100023959	100028967		100018443	100018745	100016065	100010047		100022170	100025237	100025065	100013911	100013321	103099737	100012447	100022896	100016298	100024610	100013592	100023890	100017589	100030368	100021451	100011783	100024685	100023377	100030119	100025014		100028102	100017079	100010143	100019975	100019356	100032344	100018774	100616977	100013257	100016259	100027538	100026039	100012296	100019628	100011211	497248	100016498	100016166	100014810	100619476	100029508	100013348	100013521	100023165	100010545	100010176	100010929	100026517	100021110	100032706	100026992	100017517	100029873	100028089	100033281	100011784	100014900	100033302	100024674	100013346		100023153
					100033140	100025651		100021212				100024657									100012384						100019281				100018016		100029447		100022502			100022768			100011177		100014971							100020785								100022757	100010586		100013876														100026861						100031160				100022924	100018361		100029818						100618895	100031660	100010898	100011077					
																					100030155																	100617787																																					100032298																				100031869	100024521	100033104					
																																																																																															100031263	100028973						
E.Ani	Sarcophilus	shr	100930661	100928059	100918306	100914628	100925510	100917926	100933826	100931119	100923381	100914365	100917765	100913767	100921973	100935288	100919692	100924944	100928565	100929236	100929007	100920776	100932723	100921057	100928665		100921540	100932536	100919821	100919498	100916636	100919476	100914963		100930633		100915794	100931932	105749059	100930993	100919559	100922225	100913385	100916317	100914316	100920192	100930636	100923576	100933740	100925931	100915381	100930141	100922609	100922675	100934638	100919586	100917114	100932423	100915704		100926283	100927489	100923569	100920997	100928564	100921308		100930035	100917462	100915102	100921166	100920568	100933647	100914418	100929360	100922473	100922952	100929832	100927300	100930778	100925642	100926417	100918404	100925212	100934878	100925938	100934498	100914526	100921931	100916865	100919657	100932383	100924669	100930815	100929015	100916233	100917281	100918689	100913337	100924022	100935225	100926364
					100918389	100935307		100924415		100925362	100934290	100919162	100932979					100913696			100922864						100923425								100916936			100932600			100917554		100929536							100915224	100924173				100932903				100934642		100921187									100915359					100915481					100927158	100923383				100930535	100916841		100935054						100924267	100934049	100934917	100915297					
																					100934376																	100932119													100919354																								100934183																			100928480	100934311	100918427	100918408					
																																																			105751130																								100913731																				100922938	100915634						
																																																																																																100913975						
E.Ani	Ornithorhynchus	oaa	100090726		100077640	100090103	100075238	100091252	100089786	100075994	100079874	100074117	100090678	100091700	100077974		100079087	100079442	100075701		100080514	100075380	100079650	100086668	100092133		100081860	100090775	100086058	100080994	100089547	100080710	100091844		100077194	100075865	100090166	100091980			100074583		100090897	100080055	100090970	100092089	100080628	100093450	100077932	100082114	100076676	100082332		100080633	100079818	100090884		103166658	100079718		100080510	100073557	100077136	100076229	100075452	100079391		100088176	100075081	100088940	100088334		100079035	100091250	100078846		100682095	100081772	100082731	100084465	100076818	100073945	100076928	100084193	100088163	100076955	100075447	100086296	100073519	100073941	100076220	100092844		100073424	100078508	100089453	100087467	100083665	100079107	100074181		100078396
					100087253			100085809													100093417												100080214										100074420					100093343													100076960														100088079						100080584					100073479			100079193					100076033	100084272	100079279	100083890					
																					100073484																																																																									100082590	100081349	100074083	100073776					
E.Ani	Gallus	gga	107050792	396160	374243	395396	395561	395703	395235	374168	428953	395829	429040	395562	427856	395623	417385	417831	417561	429784	422531	395237	395546	420732	423838		374062	374061	395572	373887	395571	378788	373885		419097	428413	378891	424949		107052763	415626	100873151	415729	107051796	424864	418335	395964	395786	395152	415607	395924	395229	395230	395508	395865	771460		428534	423958		416667	416022	107055136	421808	417669	420332	424673		396341	374047	419928	395479	418983	373977	424542	396200	374076	424437	416319	426045	416181	420783	418001	422234	418337	417793	395234	423532	395442	374182	395871	418044	395870	423778	423014	374174	378890	378804	417430	416567		420815
					417769	374142		418154		427937	396543	771092		100170842							374156						374060				374059		373886		423114			419416			432370									429363									422904		418000																			426284	423854				426903	771427		421422						395983	416730	374175	395113					
																																																											416354																																			422592	427687	423737						
																																																																																																422688						
E.Ani	Meleagris	mgp	104915865	104916364	100545665	100549905	100547391	100544120	100540128	100542958	100545216	100549597	100539047	100544486	100544116	100538656	100545130	100545355	100551276	100544889	100543558	100548875	100545830	100547326	100547791		100550955	100550954	100539241	100551449	100538891	100548950	100549231		100548748	100540171	100549806	100542715			100539111		100548151		104912646	100545864	100541972	100539162	100541268	104915165	100544726	100544924	104917108	100545943	100542839	100543642			100547166		100543704	100550454		100539749	100546825	100547931	100548501		100539759	100550222	100546832	100543645	100543554	100548338	100548554		100549528	100539252	100544772	100544794	100551173	100540218	100543550	100548096	100546784	100549958	100550331	100548077	100547488	100538826	100548156	100547045	100544672	100541011	100547667	100541354	100547009	100549150	100541727	100538953		100545778
					100551435	100547574		100546517		100542203	100539004	100540276		100538380																	100550240		100547034		100544535			100542700			100543840									100544685									100544762		100542241																			100547429	100545331				100543280	100549685		100546650						100542628	100548128	100541823	100543676					
																																																											100540086																																			100547737	664713	100550458						
E.Ani	Coturnix	cjo	107307404	107325739	107324859	107325013	107323388	107315234	107317037	107319707	107315787	107324983	107317039	107312604	107308732	107306145	107322256	107310182	107322531	107325058	107315640	107323778	107313067	107309421	107316102		107316568	107325035	107312409	107308481	107316549	107310456	107322713		107317760	107308984	107314132	107318246		107310401	107323193		107319024	107313310	107317897	107319718	107309369	107320950	107322239	107325420	107320383	107320225	107323707	107316122	107313267	107323401	107307343	107310171	107313898		107312938	107320003	107306999	107311964	107322736	107310561	107317693		107314428	107318017	107324823	107324799	107308406	107314867	107317471		107319235	107317198	107320209	107306760	107320428	107309836	107312930	107312704	107319849	107309680	107309918	107311169	107319611	107312208	107320829	107313854	107322082	107320159	107310934	107323605	107307315	107310666	107322193	107320755	107307120	107309755
					107309102	107308854		107320001		107317577	107320095	107308824		107308524							107313269						107309048				107308978		107321514		107314522			107323265			107319011									107306337								107306799	107316246		107320924		107324374																	107318145	107316011				107324441	107319984		107315421						107315851	107310953	107313595	107315797					
																																																											107320035																					107325702														107313439	107314230	107315812	107313629					
																																																																																															107307599	107320147	107313674					
E.Ani	Anas	apla		101792416	101799824	101800064	101791711	101802371	101803438	101805245	101796899	101803319	101803237	101798327	101795639	101798861	101794529	101791290	101796701	101804474	101790422	101791559	101794947	101799069	101793046		101800813	101792127	101804946	101804770	101800624	101799157	101793766		101790390	101792754	101802293	101803917			101804286		101793483		101796064	101802112	101805265	101800899	101799849	101795988	101803090	101803610	101801135	101790790	101792052	101802607	101796404		101805260		101800809	101789515	101805274	101800996	101804891	101803370	101796626		101800639	101802600	101790685	101803919	101793749	101804384	101791856		101794815	101799553	101803413	101794927	101795851	101793264	101796040	101791075	101793651	101800816	101795550	101790442	101797910	101792620	101801980	101790794	101794915	101799011	101805172	101801648	101792272	101791746	101802546	101799551		101793899
					101800865	101803262	101793827	101792356		101792761	101797449	101804224		101792827							101802802						106020644	101797835			101792494		101799597		101790650			101795365			101794550									101793979									101793303		101800950																			101797919	101796951					101794435		101796496	101798663					101799776	101790966	101804017	101800684					
																																																											101798753		101796241																																	101793594	101804447	101802786	101794308					
																																																																																																101802013						
E.Ani	Taeniopygia	tgu		100229313	100221216	100228449	100230804	100219241	100230318	100220226	100230877	100230344	100226575	100223979	100218349	100227369	100223048	100223731	100221362	100221969	100224542	100231868	100232191	100228338	100220855		100218502	100224597	100231970	100231781	100222282	100222044	100217519		100226977	100190324	100231092	100231182			100231582		100223800	100230218	101233233	100224604	100217813	100226467	100230658	100231767	100224246	100221008		100229459	100228376	100225165		100230766	100224313		100227395	100225975		100221443	100217568	100219849	100229914		100231612	100224096		100219211	100231056	100223971	100227397		100222788	100190688	100225726	100224075	100220854	100223849	100190092	100232359	100225574	100230896	100222496	100220114	100190386	100221127	100221287	100230090	100220185	100220867	100229635	100220435	100222189	100229058	100219195	100227442		100225123
					100227493	100231352		100232701		100220584	100219521	100231300		100226560						100223624	100228789						100225791				100231013		100220832		100220027			100220188			100227081									100217575									100225326		100231106														100226105					100221758	100217770				100223025	100226580		100229651						100223519	100219122	100226008	100232244					
																																																											100219906																																			100225285	100221959	100228031	100225527					
																																																																																																100219415						
E.Ani	Geospiza	gfr	102040134	102033698	102039793	102042820	102040060	102035335	102035490	102044794	102039167	102036952	102035663	102036206	102041852	102044287	102031975	102038719	102041300	102039959	102036077	102036668	102036570	102037573	102041548		102033704	102043157	102041877	102036074	102033033	102036992	102040561		102043682	102035799	102035003	102039062			102036085		102043536		102042147	102034944	102043187	102034015	102040633	102041365	102035497	102036749	102039905	102035103	102034937	102041017			102033763		102043483	102040208	102043998	102039929	102033058	102037262	102039078		102042858	102034688	102033692	102034366	102045386	102031986	102039982		102040458	102045604	102038546	102041298	102038820	102038503	102037823	102041834	102034429	102033155	102031933	102033477	102034459	102032829	102035279	102031835	102043334	102036009	102031336	102036854	102037249	102034017	102043485	102041922	102040754	102038895
					102040836	102040466	106631805	102037267		102043987	102042115	102040292		102037571													102044783	102043328			106632009		102034797		102045063			102042753			102034730									102038857									102041811		102038495		102041942										102045552							102037197	102045368				102035564	102043063		102042173						102043222	102045029	102040653	102039738					
								106632222																																																			102044654																																			102043776	102037268	102031855	102037137					
																																																																																																102041076						
E.Ani	Ficedula	fab	101819915	101817901	101821440	101814725	101806519	101812087	101819686	101816884	101817235	101812024	101820020	101811302	101809098	101816993	101820243	101810157	101822144	101815684	101822048	101810203	101812142	101816819	101821330		101819538	101812789	101806169	101813392	101812949	101821847	101819389		101820326	101819616	101817781	101819961			101819895		101815801		101815797	101807423	101812089	101812314	101818199	101820774	101810953	101820491	101817952	101808150	101821185	101811735		101810978	101817722		101810784	101810883	101815515	101814532	101817298	101819732	101816255		101807319	101818224	101819978	101821156	101821768	101810998	101821736		101817349	101818395	101813841	101806330	101812846	101810352	101806409	101818179	101811622	101817839	101813338	101809856	101806310	101817597	101821415	101808708	101821880	101809052	101806047	101806876	101813689	101820532	101810891	101820883		101811894
					101807109	101816608		101821076		101813299	101812440	101819118		101815984							101817146						101812961				101805868		101818005		101808979			101814246			101815295									101819406									101821195		101809867																			101817740	101812833				101807911	101806963		101811831						101819306	101816169	101817363	101807808					
																											107604549						107603978		107603637																								101814780																																			101817339	101812094	101810626	101818111					
																																																																																																101812759						
E.Ani	Pseudopodoces	phi	102113345	102103458	102099201	102111366	102106062	102102367	102100841	102113528	102105800	102099420	102101018	102107422	102099681	102107478	102099415	102112856	102100308	102106648	102108734	102109446	102104747	102112413	102112234		102113044	102114200	102105570	102103650	102102740	102099310	102102880		102102432	102114343	102112017	102100381		102112277	102106316	102099669	102108999	102111320	102104665	102105491	102107098	102108019	102099770	102111044	102099948	102110510	102105833	102110960	102109576	102104119	102100392	102104988	102099743		102103022	102110695	102113882	102107403	102108455	102108851	102112236		102099659	102114518	102106455	102113514	102109334	102110260	102112800	102101491	102110589	102104840	102099878	102101873	102103643	102100590	102102832	102106446	102107298	102099811	102104378	102112231	102104637	102103730	102111634	102106942	102103513	102106744	102113003	102112061	102109818	102111343	102100311	102104824	102099121	102114296
					102111953	102113943	102113442	102105513		102113507	102111196	102114245		102101906							102108904						102102804				102101759		102105130		102114188			102106626			102103552									102099173								102105169	102111898		102103796		102111851																	102099823	102101586				102102405	102106482		102113648						102099159	102105081	102104310	102100025					
																																																											102106499																																			102114724	102100609	102108054	102106610					
																																																																																															106629033	102104633						
																																																																																															106629087							
E.Ani	Corvus	ccw			104692318	104686382	104697541	104683261	104693964	104696093	104696979	104686381	104694193	104691341	104686900	104685195	104698188	104698463	104691067	104697779	104697115	104694910	104697314	104689270	104695906		104693786	104698542	104696888	104690317	104686527	104692703	104688742		104692657	104686471	104696317	104687975			104691894		104687551		104696739	104687192	104688979	104684681	104696031	104697069	104689497	104683724	104683181	104695213	104697293	104693337			104694944		104696533	104683288	104686787	104692210	104691151	104692644	104695158		104697629	104696177	104692524	104692389	104690112	104683275	104695299		104687448	104693591	104683717	104688025	104696044	104688924	104696532	104691253	104687193	104698325	104685820	104684430	104683253	104685437	104684856	104696295	104698185	104689594	104692980	104697948	104697093	104696602	104696032	104684988		104688858
					104698447	104698529	104687219	104692240		104695759	104689602	104698528		104686964													104689341				104694145				104696102			104693398			104687702									104684175									104690797		104684955																			104686138	104695699					104683348		104684549	104685411					104696634	104691519	104689694	104694838					
																																																											104689459																																			104697227	104691520	104683185	104697310					
																																																																																																104696844						
E.Ani	Falco	fpg		101915237	101916797	101921388	101922779	101918836	101921385	101913212	101913195	101912498	101912556	101921371	101924697	101919321	101910665	101920620	101917305	101914527	101912688	101921038	101923212	101916723	101920607		101919542	101914013	101917406	101916463	101917567	101918254	101919705		101921331	101920867	101919127	101911922			101924288		101914973	106112548	101925024		101921588	101924311	101923006	101912417	101924206	101919678	101922879	101911463	101917929	101919033	101924553		101917137		101920795	101916498	101918184	101917746	101915315	101923426	101918818		101914937	101920354	101913539	101924006	101913643	101922107	101921803		101911681	101917325	101911889	101910685	101920782	101911159	101916874	101913417	101915304	101914827	101920337	101915578	101911200	101916990	101921306	101915778	101915014	101917138	101916711	101914593	101918536	101923629	101914699	101912011	101910888	101913726
					101924187	101924919	101918156	101915287		101919373	101922564	101910323		101920317													101911486				101918862		101912624		101919835			101912223			101916240									101913625									101915895		101924103		101924446																	101923672	101914153				101922406	101924144		101918071						101924129	101922366	101918953	101914455					
														106112271																											101914165																		101921591																																			101921076	101912415	101915367	101917506					
																																																																																																101923748						
E.Ani	Falco	fch		102049459	102054880	102053186	102048943	102054189	102054753	102056992	102057135	102052387	102046955	102052267	102051265	102051710	102053978	102052851	102051987	102051369	102055047	102060074	102056092	102048036	102057789		102046073	102050856	102056905	102053743	102059977	102053441	102058060		102046777	102055666	102047434	102050159			102057085		102057367		102052216	102059271	102053189	102054847	102052896	102052505	102045830	102058554	102051021	102053252	102050307	102049978	102054377		102046263		102045802	102057101	102057734	102058816	102053931	102056832	102050406		102053036	102053549	102059828	102055290	102052975	102052047	102052736		102058058	102056677	102046372	102048433	102054729	102056187	102049129	102047164	102055070	102049735	102050888	102057807	102049160	102053908	102049998	102059263	102054322	102054176	102048018	102051471	102052148	102050745	102053069	102047370	102049511	102046809
					102050583	102047030	102056989	102048667		102050340	102050520	102049155		102047808							102047139						102057268				102052498		102053410		102050996			102058771			102047766									102051031									102059033		102056653		102048236																	102054897	102057588				102050775	102057488		102057225	102053607					102047380	102048448	102052104	102048177					
																																									102045929																		102050234																																			102055660	102054421	102057655	102053077					
																																																																																																102057671						
E.Ani	Columba	clv	102093109	102091634	102093378	102092679	102098373	102089531	102085008	102084979	102096116	102092974	102085904	102087258	102095964	102096180	102094187	102086579	102089619	102086936	102098477	102086501	102084953	102095312	102089875		102087598	102098179	102090234	102087843	102092897	102088781	102085636		102090488	102087270	102096709	102090902			102098577		102097522		102097985	102090893	102088707	102091034	102087539	102094189	102090547	102094656	102084814	102092542	102084626	102095112	102083761		102094910		102097232	102086485	102095020		102086843	102085948	102092209		102086245	102093196	102090134	102096647	102097689	102098339	102094181		102089742	102094347	102094112	102098898	102096361	102093584	102095842	102083596	102084691	102089539	102095274	102088742	102086675	102084971	102091892	102092145	102094546	102085840	102096635	102090258	102096117	102095954	102084059	102090291		102091094
					102085110	102086790	102083488	102095873		102088082	102087818	102088068		102085160							102093898						102083424						102091529		102091044			102083825			102090503									102093207									102096394		102085000																			102090941	102083982				102093224	102097300		102096733						102087983	102097554	102086515	102088936					
																																									102086938																		102083568																																			102085027	102098150	102095946	102086447					
																																																																																																102083707						
E.Ani	Apteryx	aam		106497501	106485278	106487677	106498597	106488861	106499139	106488789	106487185	106487678	106499075	106495859	106495936	106496067	106487122	106488734	106487708	106491778	106492112	106487771	106492113	106489010	106485090		106492348	106497300	106488031	106490826	106492344	106494464	106489900		106488638	106490029	106488733	106483786			106485795	106491407	106483287			106497256	106491208	106482339	106493090	106486559	106493456	106487174	106497459	106483723	106491833	106499133	106498857		106486364		106488223	106500276	106494875	106489690	106498756	106496220	106494500		106498229	106489562	106483949	106487955	106495507	106498263	106499821		106483212	106495776	106487187	106490721	106484672	106495275	106488968	106499594	106489812	106488854	106496963	106495229	106491145	106494758	106491345	106488354	106487128	106493457	106486714	106493448	106492052	106495909	106493092	106486190		106500234
					106488127	106496691	106497177	106495159		106488582	106497783	106496688		106486175										106486358			106483510				106492346		106496098		106493058			106495571			106487805									106495024									106487161		106482329																			106498536	106488073				106490669	106484153		106485529					106487129	106496655	106490470	106494574	106499981					
								106495160			106497826																				106489949							106483810			106487806																		106484138																																			106497812	106490480	106491995	106498910					
											106497827																														106497386																																																							106498878						
