Ortholog table																																		
																																		
PATHWAY: 04330 																																		
																																		
   All   Eukaryotes   Prokaryotes   Animals   Plants   Fungi   Protists   Bacteria   Archaea    																																		
Grp	Genus	Organism																																
			K06051	K06052	K21635	K05948	K02599	K20994	K20995	K20996	K06053	K06054	K06055	K06056	K02353	K06057	K06058	K06059	K04505	K04522	K06060	K06170	K06171	K06172	K06061	K04498	K06062	K06063	K06064	K04496	K04497	K06065	K06066	K06067
			103054339			103063742				103059465	103067192	103056990	103058848		103061389	103055943	103063651							103065624	103060897	103060018	103060138	103050386		103058942				103058754
			103059085												103051186	103064008	103068133								103058472	103064490				103067792				103066054
			103049977												103060252		103066260								103060893					103049294				103063231
																	103055711																	
E.Ani	Gekko	gja	107126022	107106800	107112884	107122012	107112973		107119972	107107508	107116151	107110838	107122264		107107424	107117896	107109074	107112820	107117905	107118519		107108177	107111190	107109468	107110317	107117161	107111474	107116453		107119654		107117217	107120944	107121973
			107106377			107105918					107122002	107120729	107122266		107118298	107120215	107122286								107110789	107108414	107123658			107107151				107107742
			107113466			107118125						107108767	107122267		107118069		107125577								107116840	107109304				107109458				
													107125250				107119203									107123545								
																	107107693																	
E.Ani	Xenopus	xla	379238	399110	108699759	100036937	394367	108714488	108711658		399453	397813	379151		444527	108698619	379387	733430	399258	397713		494701	108700373	595044	394224	495689	108719954	734970		494997		407842	446936	379083
			108717842	108717628	108698810	394282	108716956	108715736			108698058	379073	398151		399301	108699734	398477	108718238	108699733	108716701		495936	108699428	108699398	108712615	108714480	108718922	108698691		398147		398642		397868
			108699270			397855	108700568					398579	398259		108697641	108700267	100127334								108699635	108715729	108701750			373701				399252
			108699846			397979	108698191					398258	108697692		108718034	100462918	108701239								108706676	373795	108702462			108696103				108716821
			100337564				108705318						108697693		100381153		398613								108708742					108697380				
			108705808										108697694		108703580		733241								108710007					108710999				
			108704436										108697695				100126653																	
													108697696				108708300																	
													108697697				filler																	
													108697698				filler																	
													378498				filler																	
													108696612				filler																	
													108696613				filler																	
													108696614				filler																	
													108696616				filler																	
													398150				filler																	
													398008				filler																	
													733288				filler																	
													733287				filler																	
													733286				filler																	
E.Ani	Xenopus	xtr	100101697	100486874	100497180	549805	100037842	100486344	100494244		100491789	496617	733463		100144702	100038147	407940	100492947	394924	549935		549090	100170459	548560	100158633	100101677	100488927	549899		493289		733898	100495464	447995
			100489166			100486895	100488695					394465	733755		100144639	100488844	100144713								100489486	734023	100492735			549620				594953
			100124798										101733898		780117		550107								100493991					493558				
													100101782				100127181																	
													100271766				100496352																	
E.Ani	Danio	dre	30120	140421	566455	30158	30718	58065	58066		386772	30288	402914		323630	497616	393500	324142	30221	58026		402810	494449	386808	567335	559273	563942	321852		65229	30206	561503		192302
			30131	140423	140422	414848	794892				563306	140613	100534909		560032	692064	568626	560657						559336	101886283	565612	555517			678649				
			30138			493633					503870		359836		569863		570481									566841				65230				
			30141												80972		334026									567111								
			563920												100149082		101885597																	
E.Ani	Ictalurus	ipu	108258338	108258950	108263062	108259517	108279276	108265554			108271532	108272284	108275637		108268006	108269969	108280976	108257789	108269999	108258586		108277673	108280450	108271374	108277971	108259383	108278374	100304791		108269017		108265427	100304929	108255500
			108257579		108258112	108257411	108255797				108267886	108275484	108275587		108264349	108277826	108255167	108270063						100304952	108268576	108279275	108272723			108269758				108272688
			108260005			108273644					108260898		108275589		108268205		108260301								108263490	108273944				108273599				
			108262821										108254738		108276110		108255862									108272975				108268844				
			108277486										108254739				108276372																	
													108254740				108263325																	
													108254741				108267695																	
													108254742				108272603																	
													108254743				filler																	
													108254744				filler																	
													108254745				filler																	
													108254746				filler																	
													108275676				filler																	
E.Ani	Takifugu	tru	101064198	101078728	101078180	101067911	105416620	101080224			101073448	101070803	101076256		101074176	101072040	101064836	101063716	101077303	101066600		101076493	101072664	101069150	101079635	446056	101072241	101079759		101074618		101077290	101063999	101076176
			101073076		101071021	101073848	101062685	101078599			101062145	101065156	101066862		101061269	101077754	101078468	101075639							105418907	101078373	101070909			101063672				101072042
			101068485			101066309	101067059					101065161	101067184		101065936		101067626								105418908	101070643				101066137				101079482
			101078128			101073166							101069393		101061354		101064721								105417086	101073984				101063195				
			101063117														101061217									101061242								
			105419074														101067833																	
E.Ani	Tetraodon	tng	GSTEN00032359G0	GSTEN00000335G0	GSTEN00023297G0	GSTEN00002179G0	GSTEN00029014G0	GSTEN00034375G0			GSTEN00009287G0	GSTEN00014992G0	GSTEN00011836G0		GSTEN00023577G0	GSTEN00026793G0	GSTEN00003779G0	GSTEN00003450G0	GSTEN00004436G0	GSTEN00004150G0		GSTEN00034200G0	GSTEN00007969G0	GSTEN00034780G0	GSTEN00001413G0	GSTEN00008995G0	GSTEN00022052G0	GSTEN00018417G0		GSTEN00019902G0		GSTEN00005604G0	GSTEN00031446G0	GSTEN00031367G0
			GSTEN00004901G0	GSTEN00030849G0		GSTEN00034798G0	GSTEN00013838G0	GSTEN00012656G0			GSTEN00024345G0	GSTEN00028224G0	GSTEN00022550G0		GSTEN00023578G0	GSTEN00004439G0	GSTEN00002872G0	GSTEN00032183G0							GSTEN00024280G0	GSTEN00026317G0	GSTEN00017461G0			GSTEN00024971G0				GSTEN00009146G0
			GSTEN00010671G0			GSTEN00006372G0						GSTEN00028972G0	GSTEN00022551G0		GSTEN00019247G0		GSTEN00028129G0								GSTEN00035237G0	GSTEN00011900G0				GSTEN00035933G0				GSTEN00017616G0
			GSTEN00009588G0			GSTEN00015727G0									GSTEN00021138G0		GSTEN00027219G0								GSTEN00004413G0	GSTEN00013510G0								
			GSTEN00020707G0			GSTEN00005496G0									GSTEN00021139G0		GSTEN00008634G0									GSTEN00024248G0								
															GSTEN00020942G0		GSTEN00011469G0									GSTEN00026318G0								
																	GSTEN00008210G0																	
E.Ani	Larimichthys	lco	104931664	104933632	104929631	104921160	104924495	104918423			104930929	104920985	104938781		104937819	104927219	104924013	104922135	104935360	104939462		104932362	104936430	104929614	104925962	104925373	104923119	104926953		104928612		104933473	104924444	104920778
			104939044	104918216	104925677	104918731	104923664				104936685	104923504	109137292		104924672	104935353	104939942	104938532							104934867	104918882	104926017			109136641				104919311
			104932782		109138006	104925295					104927596	104927063	109137294		104933929		104932903								104923056	104932063				104925227				109140226
			104920170			104929533							109139650		104934174		104938748									104925726				104922705				
			104929759										104926421				104924053													104929382				
			104921332										104926439				104930857																	
													104926441				104932913																	
													109137632				filler																	
E.Ani	Maylandia	mze	101474783	101485200	101483022	101485425	101481146	101471475			101805557	101470131	101486328		101472481	101482557	101475962	101474055	101485940	101475262		101481793	101465667	101472539	101481869	101478121	101477349	101485782		101467118		101470674	101486040	101478271
			101482222		101468567	101466218	101473768	101484507			101468596	101479362	101486618		101468147	101487973	101471402	101477206							101486637	101476833	101482035			101482142				101481782
			101472085			101467699					101479932	101482682	101482299		101484949		101488011								101487841	101467023				101476325				101473181
			101471139			101469344							101481130		101466230		101484745									101468013				101481404				
			101468734										101481725				101480294																	
			101481403										101480649				101478894																	
													106676497				filler																	
E.Ani	Oryzias	ola	101166370	101169088	101163046	101156689	101161732	101162275			101173676	100049441	100049435		101157324	101171729	101164799	101171872	101154844	101156628		101173167	101163847	101159650	101159889	101168870	101170930	101165779		101158706		101167546	101161351	101166025
			101163294	101168394		101169038	101171596	101162450			101162425	100049484	100049439		101163770	101156908	101166230	101165277							101169718	101163392	101159205			101168811				101159547
			101165992			101174979					101167243	100049440			101165393		101163335								101165691	101160197				101175355				101172913
			101175375			101155324									101159562		101168729									101155770				101164069				
			101169577			105357447											101161944																	
			101170775														101163297																	
																	101160355																	
																	101168945																	
																	105354141																	
E.Ani	Xiphophorus	xma	102218807	102230170	102231778	102219280	102234173	102236471			102220009	102224196	102218095		102217272	102227270	102230390	102227287	102224517	102228767		102236056	102220927	102229895	102227605	102230576	102221720	102224593		102217139		102235500	102235890	102238316
			102217461		102222041	102225648	102233486	102217305			102224688	102234758	102230007		102233479	102219336	102238035	102222153							102232692	102235592	102222338			102222623		102225078		102236362
			102237493			102230356					102233883	102221827	102227893		102235653		102234776									102221134				102226960				102225350
			102238166									102220497	102231804		102216940		102227104									102230991				102218513				
			102216646										102227374				102233506									102226082				102237565				
			102230284										102227638				102236985													102230077				
													102231537				106699693																	
																	102231288																	
																	106700163																	
E.Ani	Salmo	sasa	106603699	106586244	106599208	106607332	106579992	106584380			106608547	106599183	106566807		106599063	106612624	106567006	106607660	106611426	100194958		106605614	106600387	106562852	106581583	106601889	106600977	106571721		106603903		106579918	106581753	106610811
			106564732	106578773	106571712	106593718	106585423	106613830			106602135	106613513	106572332		106608773	106580830	106567009	106610723	106595294	106586215		106577931	106569378	106587925	106604571	106601159	106570503	106608236		106604969		106597252		106570688
			106611070	106589996	106610964	106601125	106560538				106565033	106568808	106572333		106612406	106592551	106570931	106566892	106580298					106587972	106611596	106601244	106607290			106611936		106585520		101448007
			106608273	106564817		106593424					106577485	106567371	106565908		106567255	106594790	106603780		106581429					106571615	106610545	106607167	106588888			106604922				101448008
			106612683			106589611					106596981	106572133	106565955		106568930	106591875	106567555									106606488				106562812				106589072
			106571054			106594055						106574089	106565956		106602818	106579027	106572698									106564464				106577038				
			106580764			106593195							106565957		106572388		106577571									106593588				106594219				
			106593903			106594217							106565958		106577635		106579922									106589530				100380520				
			106591243			106590596							106566929				106608654									106590442				100380793				
			100380662			106610281							100195635				106602234									106608924				106607425				
			106610689										106582962				106610472																	
			106589077										106582963				100195379																	
			106587513										106582964				106585516																	
													106582965				filler																	
													106582968				filler																	
													106582773				filler																	
													106582778				filler																	
													106582840				filler																	
													106582841				filler																	
													106582843				filler																	
E.Ani	Latimeria	lcm	102347129	102364713	102362171	102362901	102357987	102352392	102353790		102363367	102354272	102346203		102364030	102350751	102354895	102367618	102350642	102353018		102351771	102355498	102360420	102356201	102363820	102366092	102353600		102356115		102348621	102366979	102364559
			102346486			102347945	102358012	102366854			102363683	102355895	102362860		102358902	102347099	102366401							102351534	102347549	102355017	102346903			102355652				
			102366714			102350505						102365457	102362008		102356490		102345454							102359441	102345309	102355552				102357156				
												106705103	102346872		102349092		102358169									102353074								
																	102365951									102352539								
																	102363052									106706726								
																	102367234																	
																	102353670																	
E.Ani	Callorhinchus	cmk	103171859	103186455	103190688	103189782	103172786	103184811	103189740		103175836	103187419	103181452		103181449	103178473	103177845	103187122	103178476	103178605				103187974	103181295	103178725	103189181	103186783		103181470		103187997	103176461	103185671
			103174019			103175474	103184734		103187578		103190652	103173662	103181453		103187995	103172250	103189505		103191072					103181020	103188250	103189241	103181274			103177277			103176460	103182606
			103190052			103186827							103181414				103184341							103191081	103184089					103185450				
																	103180680																	
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
